custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD010372,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state high-grade serous ovarian cancer (HGSOC) and study of platinum-resistant and -sensitive HGSOC patients.,No | evidence: Description compares platinum-resistant and -sensitive HGSOC patient tumor samples; no mention of healthy/normal control samples. | justification: All samples described are tumor samples from HGSOC patients; there is no indication of inclusion of healthy control subjects or non-cancer tissue.,Not applicable | evidence: No explicit sample composition or counts provided and no healthy controls mentioned. | justification: Cannot assess proportion of healthy controls because none are reported.,"Yes | justification: Study performed quantitative proteome analysis, phospho- and interaction proteomics and immunopeptidomics (proteomics methods are central to the work).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset concerns HGSOC and uses multiple proteomics approaches, meeting criteria 1 and 3. However, it does not include healthy controls (criterion 2 not met), so it fails overall inclusion requirements.",No,False
PXD005436,,gpt-5-mini-2025-08-07,"No | justification: The study investigates poor ovarian response (POR) during in vitro fertilization using follicular fluid to find biomarkers of POR; it is about reproductive failure/IVF, not ovarian cancer.","Unclear | evidence: Description contrasts 'poor responders' with other samples and reports up‑/down‑regulated proteins in poor responders, but does not explicitly state inclusion of 'healthy controls' or describe control group composition. | justification: The text implies a comparison group (non‑poor responders) but does not explicitly label or describe healthy control subjects, so presence of formal healthy controls cannot be confirmed from the description.","Not applicable | evidence: No sample counts or percentages for group composition are provided in the description. | justification: Because explicit sample composition (numbers or percentages of controls) is not reported, the ≥20% healthy control requirement cannot be assessed.","Yes | justification: The study used quantitative proteomic analyses (high‑resolution Orbitrap LC‑MS identifying 1,079 proteins) with targeted validation by triple‑quadrupole mass spectrometry.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset meets the proteomics criterion, it is not about ovarian cancer (it addresses poor ovarian response in IVF) and does not clearly include or quantify healthy controls; therefore it fails key inclusion criteria.",No,False
PXD010166,,gpt-5-mini-2025-08-07,"Yes | justification: Title and description specifically refer to epithelial ovarian cancer (EOC) and patient tissue (serous and clear cell), indicating the dataset is about ovarian cancer.","Unclear | evidence: Description states septin-2 was ""overexpressed in serous and clear cell human patient tissue compared to benign disease."" | justification: The description mentions comparison to ""benign disease"" tissue, which may represent non-malignant controls but does not explicitly state healthy/normal control samples or provide details on control source (healthy volunteers vs benign disease). Therefore presence of explicit healthy controls is unclear.","Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Because the description does not give numeric sample composition or percentages, the ≥20% healthy-control requirement cannot be assessed.","Yes | justification: The description reports a ""comparative label-free proteomic analysis of septin-2 knockout cells,"" indicating proteomics data are included.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset clearly concerns epithelial ovarian cancer and includes proteomic analysis. However, it does not explicitly document healthy controls (only mentions comparison to ""benign disease"" without clear definition or sample counts), so it does not meet the explicit healthy-control inclusion criterion.",No,False
PXD045417,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is on high-grade serous ovarian cancer (HGSOC) and refer to HGSOC patient tumors and cohorts.,"No | evidence: Description: profiling of bulk tumor (BT) and LMD enriched tumor (ET) and stromal (ST) cell populations from 70 HGSOC patient tumors; validation cohorts are HGSOC patients (12, 126, 69 tumors). | justification: All described samples are from HGSOC patient tumors or tumor-associated compartments (stroma); no healthy (non-cancer) control samples are mentioned.","Not applicable | evidence: No explicit sample composition including healthy/non-cancer controls is provided in the description. | justification: Because no healthy controls are reported, the ≥20% healthy control composition criterion cannot be assessed.","Yes | justification: The study performed 'deep proteogenomic profiling' and refers to proteomic analyses and proteomic pathways, indicating proteomics data are included.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset meets ovarian cancer and proteomics criteria (HGSOC proteogenomic profiling) but does not include healthy control samples as required by criterion 2, so it fails overall inclusion.",No,False
PXD001084,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state serous ovarian tumors and serum of patients with serous adenocarcinoma of the ovary.,"No | evidence: ""control group consisting of six matched patients with a serous cystadenoma."" | justification: Controls are patients with a benign serous cystadenoma (benign tumor), not healthy/unaffected individuals.","No | evidence: Six malignant serum samples and a control group of six patients with serous cystadenoma (6 cancer, 6 benign; no healthy subjects reported). | justification: Explicit sample composition is provided and contains 0% healthy controls, which is below the 20% requirement.",Yes | justification: The study used label-free liquid chromatography tandem mass spectrometry (LC-MSe) to identify proteins in serum and tissue samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is an ovarian cancer proteomics study (meets criteria 1 and 3), the control group consists of benign tumor patients rather than healthy controls and contains 0% healthy individuals, so it does not meet the healthy-control inclusion criteria (2 and 2a).",No,False
PXD015782,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state high-grade serous ovarian carcinoma (HGSOC) tumors and HGSOC patient-derived xenograft (PDX) models; the study focuses on ovarian cancer signaling and targets.,"No | evidence: Description only mentions HGSOC patient tumors and tumors from HGSOC patient-derived xenograft (PDX) models; no mention of healthy control samples. | justification: All sample types described are tumor material (patient tumors, PDX, cell lines); there is no indication that healthy/normal control samples were included.","Not applicable | evidence: No explicit sample composition or counts provided in the description. | justification: Because no sample composition or counts are reported, the 20% healthy-control composition criterion cannot be assessed.","Yes | justification: The study used multiplexed inhibitor beads and mass spectrometry (MIB-MS) to map the kinome landscape, which is a proteomics mass-spectrometry-based approach.",meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset meets the ovarian cancer and proteomics criteria (HGSOC focus and MIB-MS kinome profiling) but fails the healthy-controls requirement because no healthy/normal samples are mentioned; therefore it does not satisfy all inclusion criteria.,No,False
PXD061015,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is of ovarian cancer (high-grade serous ovarian carcinoma) and ovarian cancer stem cells (OCSCs) from patient-derived samples.,"No | evidence: Description: ""we generated ex vivo primary OCSC-enriched three-dimensional (3D) spheres from ten distinct treatment naive patient-derived adherent (2D) cultures."" No mention of healthy or non-cancer control samples. | justification: All samples described are patient-derived tumor cultures/OCSCs; the description does not indicate inclusion of healthy control samples.",No | evidence: Explicit sample composition given (ten patient-derived cultures/OCSC-enriched spheres) contains no healthy samples or fraction of healthy controls. | justification: Provided sample composition is tumor-derived only; therefore it does not meet the ≥20% healthy-control requirement.,"Yes | justification: The study used ""state-of-the-art quantitative mass spectrometry"" to analyze the proteome and phosphoproteome, i.e., proteomics and phosphoproteomics.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is ovarian cancer and uses proteomics/phosphoproteomics, so it meets criteria 1 and 3. However, it lacks healthy control samples (criterion 2), so it does not satisfy all inclusion criteria.",No,False
PXD025864,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is about human ovarian cancer ('proteomics in human ovarian cancer'; 'proteome changed in human patients with ovarian cancer').,"Yes | evidence: Description: 'compared with healthy individuals.' | justification: The description explicitly states comparison with healthy individuals, indicating presence of healthy control samples.","Not applicable | evidence: No explicit sample composition or counts provided in title or description. | justification: Because sample composition (counts or percentages) is not provided, the 20% threshold cannot be evaluated.","Yes | justification: Title specifies LC-MS/MS proteomics ('LC-MS/MS of proteomics'), indicating proteomic mass-spectrometry data were generated.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset is focused on human ovarian cancer, includes healthy control samples per the description, and uses LC-MS/MS proteomics. Although explicit control proportions are not provided, the presence of healthy controls meets criterion 2; criterion 2a cannot be assessed from the available information.",Yes,True
PXD039281,,gpt-5-mini-2025-08-07,"Yes | justification: Description states the study includes ovarian cancer (investigating PAF1 interactions in ovarian, lung, and pancreatic cancers).",Unclear | evidence: Description does not mention healthy controls or control samples. | justification: No information in title/description about inclusion of healthy control samples; cannot confirm presence of controls.,"Not applicable | evidence: No sample composition or counts provided in the description. | justification: Because explicit sample composition is not provided, the 20% healthy-control threshold cannot be assessed.","Unclear | justification: The study concerns protein interactions but the description does not specify proteomics methods (e.g., mass spectrometry) or a proteomics dataset.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: While the dataset includes ovarian cancer, there is no evidence of healthy control samples and no explicit indication that this is a proteomics dataset. Both criteria 2 (healthy controls) and 3 (proteomics) are not met based on the provided information.",No,False
PXD040742,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study is on high grade serous ovarian cancers (HGSOCs) and chemo-refractory ovarian cancers.,No | evidence: Description: characterized the proteogenomic landscape of 242 (refractory and sensitive) HGSOCs ... utilizing two biospecimen types (formalin-fixed paraffin-embedded and frozen tumor biopsies). | justification: All described samples are HGSOC tumor biopsies (refractory and sensitive); no mention of healthy control samples or normal/benign tissue.,No | evidence: Description reports 242 HGSOCs (refractory and sensitive) with no healthy/control sample counts. | justification: Explicit sample composition provided but consists entirely of tumor cases; there are no healthy controls (so 0% healthy).,"Yes | justification: Study is described as a proteogenomic analysis and reports a 64-protein signature and protein pathway/cluster analyses, indicating proteomic data were generated and analyzed.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset meets ovarian cancer and proteomics criteria but fails the healthy-controls requirement (no healthy samples reported), so it does not satisfy all inclusion criteria.",No,False
PXD033169,,gpt-5-mini-2025-08-07,"Yes | justification: Title and description explicitly state the study is on high-grade serous ovarian cancer (HGSOC), a major histological type of ovarian cancer.","Yes | evidence: Description: ""depleted serum samples from 26 HGSOC cases and 24 healthy controls (HCs)"". | justification: The cohort explicitly includes 24 healthy control samples.",Yes | evidence: 26 HGSOC cases and 24 healthy controls = 50 total samples; healthy controls = 24/50 = 48%. | justification: Explicit sample counts are provided and healthy controls constitute 48% (>20%) of the cohort.,"Yes | justification: The study used liquid chromatography data-independent acquisition tandem-mass spectrometry on serum and identified 1,847 proteins—this is proteomics.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset is explicitly HGSOC, includes 24 healthy controls (48% of samples), and uses MS-based proteomics (DIA LC-MS/MS). All inclusion criteria are satisfied.",Yes,True
PXD064540,,gpt-5-mini-2025-08-07,No | justification: The study addresses cyclophosphamide-induced premature ovarian insufficiency (POI) in a mouse model and cell therapy effects; it is not about ovarian cancer.,"Unclear | evidence: Description describes a CTX-induced POI mouse model treated with various cell therapies but does not explicitly mention healthy or sham control animals. | justification: Although control groups are commonly used in such studies, the provided text does not state whether healthy/control samples are included, so presence of healthy controls cannot be confirmed.","Not applicable | evidence: No sample composition, group sizes, or counts are reported in the description. | justification: Without explicit sample composition information, the proportion of healthy controls cannot be assessed.","Yes | justification: The description states that mass spectrometry was used to investigate underlying mechanisms, which indicates proteomic data generation.","meets ovarian cancer criterion: No | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: Although the dataset appears to include proteomics (mass spectrometry), it is not about ovarian cancer (it studies POI) and healthy control inclusion is not specified. Fails the primary ovarian cancer criterion.",No,False
PXD015781,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state high-grade serous ovarian carcinoma (HGSOC) patient tumors and PDX models; the study focuses on HGSOC signaling and therapeutic targeting.,No | evidence: Description mentions HGSOC patient tumors and patient-derived xenograft (PDX) tumors only; no mention of normal/healthy control samples. | justification: All sample types described are tumor-derived; there is no indication that healthy control samples were included.,"Not applicable | evidence: No explicit sample composition or counts are provided in the description. | justification: Because the description does not provide sample composition, the 20% healthy control requirement cannot be assessed.","Yes | justification: The study used multiplexed inhibitor beads and mass spectrometry (MIB-MS) to profile the kinome, which is a proteomics-based method.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset meets the ovarian cancer (HGSOC) and proteomics criteria, it does not include healthy controls (and no sample composition is provided), so it fails the healthy-control requirement.",No,False
PXD031485,,gpt-5-mini-2025-08-07,"No | justification: The title and description focus on folliculogenesis, ovarian small antral follicles, PCOS (polycystic ovary) versus normal women; there is no mention of ovarian cancer or malignant disease.","Yes | evidence: ""this study aimed to detect proteomic alterations in FF from human small antral follicles (hSAF) obtained from women with PCO as compared to normal women."" | justification: The description explicitly compares samples from women with PCO to 'normal women', indicating presence of healthy control samples.","Not applicable | evidence: No sample counts or explicit sample composition percentages are provided in the title/description. | justification: Because the description does not report the number or proportion of normal (control) samples, the 20% composition criterion cannot be assessed from the provided text.","Yes | justification: The title uses 'Proteome' and the description discusses prior proteomics studies and detecting proteomic alterations in follicular fluid, indicating a proteomics study.","meets ovarian cancer criterion: No | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset is proteomics-based and includes healthy (normal) controls, but it studies PCOS and follicle biology rather than ovarian cancer. Therefore it fails the primary ovarian cancer inclusion criterion.",No,False
PXD041002,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the study uses ovarian cancer cells (comparing ovarian cancer cells treated or not with cis‑platinum).,"No | evidence: Description only refers to treated vs non‑treated ovarian cancer cells; no mention of healthy/normal control samples or non‑cancer samples. | justification: The 'non treated' samples are described as ovarian cancer cells, not healthy controls; no healthy control group is indicated.","Not applicable | evidence: No explicit sample composition, counts, or proportions are provided in the description. | justification: Because no healthy controls are reported, there is no composition to evaluate for the ≥20% requirement.","Yes | justification: Data are TMT multiplexed proteomics acquired using Real Time Search MS3 on an Orbitrap Eclipse (MS1/MS2/MS3, CID, multinotch MS3 TMT method).","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is ovarian cancer and uses proteomic TMT MS3 methods, so it meets criteria 1 and 3. It does not include healthy control samples (criterion 2), so it fails the healthy‑control requirement.",No,False
PXD019863,,gpt-5-mini-2025-08-07,No | justification: The title and description describe Salmonella infection in epithelial cells and simultaneous host/pathogen proteome profiling; there is no mention of ovarian cancer or ovarian tissue.,"Unclear | evidence: Description discusses infected epithelial cells and profiling at different times post infection but does not explicitly state inclusion of uninfected/healthy control samples. | justification: An infection time-course often includes uninfected controls, but the dataset description does not explicitly report healthy/uninfected control samples, so presence of controls cannot be confirmed from the provided text.","Not applicable | evidence: No explicit sample composition or counts provided in the title/description. | justification: Because sample composition is not reported, the 20% threshold cannot be assessed.","Yes | justification: The description explicitly states use of DIA mass spectrometry and LC-MS/MS to improve protein identification and quantification, indicating a proteomics dataset.","meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is proteomics (DIA LC-MS/MS), it is about Salmonella infection in epithelial cells rather than ovarian cancer, and it does not explicitly report healthy controls or sample composition. It therefore fails the ovarian cancer criterion and the healthy-control requirement.",No,False
PXD015903,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state this is a CPTAC/TCGA proteome study of ovarian cancer (TCGA Ovarian Serous Cystadenocarcinoma cohort).,No | evidence: Description lists 174 TCGA tumor samples (206 proteome characterizations) and specifies glycoproteome (122 tumors) and phosphoproteome (69 tumors). No mention of healthy/normal control samples. | justification: All sample counts refer to tumor samples; no healthy controls are described.,"No | evidence: Explicit sample composition: 174 tumor samples (with 32 assayed at both sites for 206 characterizations); glycoproteome 122 tumors; phosphoproteome 69 tumors — no healthy samples reported. | justification: Because explicit counts are provided and list only tumor samples, healthy controls constitute 0%, which is below the 20% threshold.","Yes | justification: Study reports global proteome data generated by iTRAQ, plus glycoproteome and phosphoproteome analyses — clearly proteomics.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is ovarian cancer proteomics and meets proteomics criterion, but it lacks healthy control samples (explicit sample composition shows only tumor samples), so it fails the healthy-control inclusion criterion.",No,False
PXD009655,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly focus on high-grade ovarian cancer (HGOC) and early detection of ovarian cancer using uterine/tubal lavage.,"Yes | evidence: Description states: HGOC patients (n=49), controls (n=127) and healthy BRCA mutation carriers (n=25). | justification: The dataset explicitly includes control samples (n=127) and healthy BRCA carriers (n=25), indicating presence of healthy control groups.","Yes | evidence: Total samples reported = 49 (patients) + 127 (controls) + 25 (healthy BRCA) = 201; healthy controls = 127 + 25 = 152 → 152/201 ≈ 75.6%. | justification: Explicit sample counts are provided and healthy controls comprise ~75.6% of samples, exceeding the 20% threshold.","Yes | justification: The study applies microvesicle proteomics with data-dependent LC-MS on a Q-Exactive, reporting 8,578 UtL proteins total and ~3,000 proteins per sample.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset targets ovarian cancer (HGOC), includes explicit healthy control groups (controls and healthy BRCA carriers) comprising >20% of samples, and uses deep proteomic (MS-based) profiling.",Yes,True
PXD020560,,gpt-5-mini-2025-08-07,Yes | justification: Title and description explicitly state the work was performed in ovarian cancer (A2780) cells and the title references ovarian cancer.,"No | evidence: Description only mentions mass spectrometry-based shotgun proteomics in A2780 ovarian cancer cells and treated vs treated cancer cells; there is no mention of non-cancer/healthy control samples or healthy donors. | justification: No healthy (non-cancer) control samples are described; controls appear to be experimental/vehicle or untreated cancer cells, not healthy tissue or donors.","Not applicable | evidence: No explicit sample composition (counts or percentages of sample types) is provided in the description. | justification: Because no healthy controls are reported, and no explicit sample composition is given, the 20% healthy-control criterion cannot be evaluated.",Yes | justification: The description states the study used mass spectrometry-based shotgun proteomics to profile global protein expression changes.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is proteomics-based and directly concerns ovarian cancer cells (A2780), it does not report healthy (non-cancer) control samples. Therefore it fails the requirement to contain healthy controls and should be excluded.",No,False
