custom_id,error,model,Q1,Q2,Q2a,Q3,Q4,Q5,in_actual
PXD000214,,gpt-4.1-mini-2025-04-14,No | justification: The dataset focuses on identifying autocrine growth factors in CHO cells and does not mention ovarian cancer or samples from ovarian cancer patients.,No | evidence: There is no mention of healthy controls or patient samples in the dataset description; it is purely about CHO cell conditioned media. | justification: Dataset involves cell line samples only without any reference to human healthy controls.,"Not applicable | justification: Since the dataset does not contain human or patient samples, healthy control composition is not applicable.",Yes | justification: The dataset involves a label-free shotgun proteomics approach using LC-MS and MS/MS analysis to identify proteins/peptides.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset involves proteomics, it does not study ovarian cancer nor include healthy controls, failing the key inclusion criteria.",No,False
PXD005436,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset focuses on proteomic analysis related to poor ovarian response during in vitro fertilization, not on ovarian cancer.",Unclear | justification: The description does not mention the inclusion of healthy controls; it focuses on poor ovarian responders but does not specify control groups.,"Not applicable | justification: Since sample compositions are not explicitly provided and healthy controls are not clearly mentioned, this criterion is not applicable.",Yes | justification: The study uses quantitative proteomic analyses with high-resolution mass spectrometry to identify proteins in follicular fluid.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset does not relate to ovarian cancer but involves proteomics. Healthy controls are not clearly described. Therefore, it does not meet the key criterion of investigating ovarian cancer.",No,False
PXD010166,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset is explicitly about epithelial ovarian cancer (EOC), focusing on Septin-2 expression and its role in EOC tumorigenesis.",No | evidence: The description compares EOC tissue to benign disease tissue but does not mention healthy controls explicitly. | justification: There is no indication that healthy control samples are included; only benign disease is referenced as a comparison.,"Not applicable | justification: Since healthy controls are not indicated as part of the dataset, this criterion does not apply.",Yes | justification: The dataset includes label-free proteomic analysis to investigate protein expression changes associated with Septin-2 knockout cells.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset focuses on ovarian cancer and includes proteomics data, it does not include healthy control samples as required.",No,False
PXD045417,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset title and description specifically focus on high-grade serous ovarian cancer (HGSOC), a subtype of ovarian cancer, and analyze tumor and stromal cell populations from HGSOC patient tumors.","No | evidence: The description only mentions tumor samples from ovarian cancer patients; there is no mention of samples obtained from healthy control individuals or tissues. | justification: Only patient tumor samples are described, and healthy control samples are not indicated.","Not applicable | evidence: No explicit sample composition regarding healthy controls is provided since healthy controls are not included. | justification: As no healthy controls are described, the 20% threshold does not apply.","Yes | justification: The description states that deep proteogenomic profiling was performed, which includes proteomic analyses of tumor and stromal cell populations.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and involves proteomics, it does not include healthy controls, which is a required inclusion criterion. Therefore, the dataset does not fulfill all inclusion criteria.",No,False
PXD001084,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset focuses on differences between benign and malignant serous ovarian tumors, specifically serous adenocarcinoma of the ovary, indicating it is about ovarian cancer.","Yes | evidence: The control group consists of six matched patients with serous cystadenoma, which are benign tumors rather than healthy individuals without disease. | justification: The control samples are from patients with benign ovarian tumors, not strictly healthy controls without any ovarian pathology.","No | evidence: The control group is six patients with benign tumors, not healthy controls, so they do not meet the healthy controls definition. | justification: Sample composition is provided, controls are benign tumor patients (serous cystadenoma), which are not healthy controls; thus does not meet the requirement of at least 20% healthy controls.",Yes | justification: Proteomic analysis was conducted using label-free liquid chromatography tandem mass spectrometry (LC-MSe) on serum and tissue samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset pertains to ovarian cancer and uses proteomic methods, the controls are not healthy controls but patients with benign ovarian tumors, thus failing the healthy control criterion.",No,False
PXD015782,,gpt-4.1-mini-2025-04-14,"Yes | justification: The title and description explicitly state the dataset is about high-grade serous ovarian carcinoma (HGSOC), a type of ovarian cancer.",No | evidence: The description discusses profiling HGSOC patient tumors and patient-derived xenograft models but does not mention any healthy controls. | justification: No mention or evidence of inclusion of healthy control samples is provided.,"Not applicable | evidence: No explicit sample composition including healthy controls is provided. | justification: Without any evidence of healthy controls, this criterion does not apply.","Yes | justification: Proteomics is involved as the description mentions kinome profiling using multiplexed inhibitor beads and mass spectrometry (MIB-MS), a proteomic technique.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is about ovarian cancer and uses proteomics methods, but it lacks healthy control samples, excluding it based on the inclusion criteria.",No,False
PXD061015,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset is focused on patient-derived ovarian cancer stem cells from high-grade serous ovarian carcinoma, explicitly addressing ovarian cancer.",No | evidence: No mention of healthy control samples or healthy tissues in the description or title. | justification: The dataset description only refers to patient-derived ovarian cancer samples without indicating inclusion of healthy controls.,"Not applicable | evidence: No sample composition information provided with respect to healthy controls. | justification: Since there are no healthy controls, the question of their proportion is not applicable.","Yes | justification: The dataset uses quantitative mass spectrometry to characterize the proteome and phosphoproteome, indicating proteomics data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is about ovarian cancer and contains proteomics data, it does not include healthy controls, which excludes it based on the criteria.",No,False
PXD025864,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset title and description explicitly mention human ovarian cancer samples.,Yes | evidence: Description states comparison with healthy individuals. | justification: The dataset includes samples from healthy individuals as controls.,Unclear | evidence: No explicit proportion of healthy controls provided. | justification: The description does not specify the percentage composition of healthy controls in the dataset.,Yes | justification: The dataset uses LC-MS/MS to analyze proteomics as stated in the title and description.,meets ovarian cancer criterion: Yes | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: Dataset concerns ovarian cancer and includes healthy controls but lacks explicit sample composition. Proteomics analysis is confirmed.,No,True
PXD039281,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset explicitly mentions ovarian cancer as one of the cancers studied.,Unclear | evidence: The description does not mention whether healthy controls were included. | justification: No information is provided about the inclusion of healthy control samples.,"Not applicable | evidence: No sample composition details provided. | justification: Without explicit sample composition data, this criterion cannot be evaluated.",Unclear | justification: The description mentions proteins and interactions but does not specify proteomics data generation or analysis.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Unclear | justification: While the dataset involves ovarian cancer, it lacks evidence of healthy controls and proteomics data, thus does not meet all inclusion criteria.",No,False
PXD040742,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset focuses on high grade serous ovarian cancers (HGSOCs), a subtype of ovarian cancer, as indicated directly in the title and description.",No | evidence: The dataset description mentions 242 HGSOC tumor samples but does not mention any healthy control samples. | justification: No indication of healthy control samples in the provided description.,"Not applicable | evidence: No sample composition details about healthy controls are provided. | justification: Because no healthy controls are mentioned, composition criteria are not applicable.","Yes | justification: The study characterizes the proteogenomic landscape and identifies a 64-protein signature, indicating proteomic analysis.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset focuses on ovarian cancer and involves proteomics analysis, it does not contain healthy control samples, thus failing the healthy controls inclusion criterion.",No,False
PXD033169,,gpt-4.1-mini-2025-04-14,"Yes | justification: The title and description clearly indicate the dataset is focused on high-grade serous ovarian cancer (HGSOC), a major type of ovarian cancer.",Yes | evidence: The description states serum samples were taken from 24 healthy controls (HCs). | justification: The dataset includes 24 healthy control serum samples explicitly mentioned in the description.,"Yes | evidence: 26 HGSOC cases and 24 healthy controls, total 50 samples, with 24/50 = 48% healthy controls. | justification: Healthy controls make up 48% of the total samples, which exceeds the 20% minimum requirement.","Yes | justification: Proteomics is evidenced by the use of liquid chromatography data-independent acquisition tandem-mass spectrometry to identify 1,847 proteins in serum samples.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset is about ovarian cancer (HGSOC), includes healthy controls representing 48% of samples, and involves proteomics via mass spectrometry analysis.",Yes,True
PXD064540,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset is about a cyclophosphamide-induced premature ovarian insufficiency (POI) mouse model, not ovarian cancer.","Unclear | evidence: The description does not specify the inclusion of healthy control samples. | justification: No explicit mention of healthy controls is provided; thus, their presence is uncertain.","Not applicable | justification: Since sample composition data and controls are not specified, this criterion does not apply.","Yes | justification: Mass spectrometry was used, indicating proteomics data is included.","meets ovarian cancer criterion: No | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: Although proteomics data is present, the dataset is not about ovarian cancer and does not clearly include healthy controls.",No,False
PXD015781,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset explicitly focuses on high-grade serous ovarian carcinoma (HGSOC), a subtype of ovarian cancer, as described in the title and description.","Unclear | evidence: Description does not mention inclusion of healthy control samples. | justification: No explicit mention of healthy control samples in the dataset description, so presence of healthy controls is uncertain.",Not applicable | evidence: Healthy controls not confirmed in description. | justification: Cannot evaluate composition since presence of healthy controls is not established.,"Yes | justification: The dataset uses multiplexed inhibitor beads and mass spectrometry (MIB-MS), which is a proteomics method to profile the kinome in ovarian cancer samples.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset meets ovarian cancer and proteomics criteria but lacks evidence for healthy controls, which is required. Therefore, does not meet all inclusion criteria.",No,False
PXD031485,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset focuses on polycystic ovaries and folliculogenesis, with no mention of ovarian cancer.",Unclear | evidence: Comparison is made between women with PCO and normal women. | justification: It is unclear if 'normal women' represent healthy controls suitable for this context.,"Not applicable | evidence: Sample composition details are not explicitly provided. | justification: Without explicit sample percentages, this criterion cannot be evaluated.","Yes | justification: The study aims to detect proteomic alterations in follicular fluid, indicating it includes proteomics data.",meets ovarian cancer criterion: No | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: Dataset is proteomics based but does not study ovarian cancer; healthy control status is unclear.,No,False
PXD041002,,gpt-4.1-mini-2025-04-14,"Yes | justification: The title and description explicitly mention ovarian cancer cells, indicating the dataset is about ovarian cancer.",No | evidence: The description specifies comparison between ovarian cancer cells treated or non-treated with cis-platinum but does not mention any healthy control samples. | justification: There is no indication that healthy controls are included in the dataset.,"Not applicable | evidence: No information on healthy control samples is provided. | justification: As healthy controls are not reported, sample composition regarding healthy controls cannot be assessed.","Yes | justification: The dataset is generated using a proteomics technique (Real Time Search MS3 method in Orbitrap Eclipse with TMT labeling), clearly indicating proteomic data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset is about ovarian cancer and is proteomics-based, it does not contain healthy controls, failing one of the inclusion criteria.",No,False
PXD019863,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset is about Salmonella infection in epithelial cells, not ovarian cancer.",No | evidence: The dataset description does not mention any healthy controls; it focuses on infected epithelial cells. | justification: No information about inclusion of healthy control samples is provided.,"Not applicable | evidence: There is no explicit sample composition indicating healthy controls. | justification: Since healthy controls are not present or mentioned, composition assessment is not applicable.",Yes | justification: The dataset involves mass spectrometry-based proteomics (DIA and LC-MS/MS) to profile protein expression during infection.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although proteomics is performed, the dataset is not about ovarian cancer and does not include healthy controls, so it does not meet all inclusion criteria.",No,False
PXD015903,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset specifically focuses on 174 TCGA ovarian cancer tumor samples from the Ovarian Serous Cystadenocarcinoma cohort.,No | evidence: The description only mentions tumor samples from ovarian cancer patients without reference to any healthy control samples. | justification: No healthy controls are described or implied in the dataset summary.,"Not applicable | evidence: No explicit sample composition including healthy controls is provided. | justification: Since no healthy controls are present, this criterion is not applicable.","Yes | justification: The dataset includes proteome data acquired by iTRAQ protein quantification methods from multiple PCCs, along with glycoproteome and phosphoproteome analyses.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is centered on ovarian cancer and contains proteomics data, it does not contain healthy control samples, which is a required inclusion criterion.",No,False
PXD009655,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset title explicitly mentions ovarian cancer early detection, and the description details samples from high-grade ovarian cancer patients, confirming the study focus on ovarian cancer.",Yes | evidence: The description states samples include controls (n=127) and healthy BRCA mutation carriers (n=25). | justification: Controls and healthy BRCA mutation carriers serve as healthy control groups in the study.,"Yes | evidence: Total samples are 49 (patients)+127 (controls)+25 (healthy BRCA carriers) = 201; controls and healthy carriers total 152, which is over 75% of samples. | justification: Healthy controls constitute approximately 75.6% of the samples, exceeding the 20% threshold.","Yes | justification: The description details proteomic profiling of microvesicles using mass spectrometry with quantification of thousands of proteins, confirming a proteomics approach.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: Yes | meets proteomics criterion: Yes | justification: The dataset focuses on ovarian cancer, includes healthy controls constituting more than 20% of samples, and utilizes proteomics methods, meeting all inclusion criteria.",Yes,True
PXD020560,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset specifically studies the mode of action of a compound in A2780 ovarian cancer cells, indicating it is about ovarian cancer.",No | evidence: Description mentions only A2780 ovarian cancer cells treated with the compound; no mention of healthy control samples. | justification: No indication of healthy controls included in the dataset.,"Not applicable | evidence: No healthy controls present in the dataset. | justification: Since no healthy controls are included, the criterion about their composition does not apply.",Yes | justification: Mass spectrometry-based shotgun proteomics was used to study global protein expression changes.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Though the dataset is about ovarian cancer cells and uses proteomics, it lacks healthy control samples, disqualifying it based on the inclusion criteria.",No,False
PXD027794,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset investigates therapy-induced secretomes and their effects on ovarian cancer cells, specifically using the SKOV3 ovarian cancer cell line, indicating focus on ovarian cancer.","No | evidence: The description mentions incubation of ovarian cancer cells with secretomes from control or dying cancer cells, but there is no mention of healthy control samples. | justification: No evidence of healthy control samples is provided in the dataset.","Not applicable | justification: Since no healthy controls are present, the proportion of healthy controls is not applicable.","Yes | justification: The dataset analyzes changes in the proteomic profiles of ovarian cancer cells after exposure to therapy-induced secretomes, indicating proteomic data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset focuses on ovarian cancer and proteomics but does not contain healthy controls, thus failing the healthy controls inclusion criterion.",No,False
PXD029424,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset title and description explicitly mention ovarian carcinoma and ovarian cancer, indicating this dataset is about ovarian cancer.","No | evidence: The description mentions ovarian carcinoma cell lines and patient-derived tumor samples but does not mention any samples from healthy controls. | justification: No indication of healthy control samples is present in the description, only ovarian cancer related samples.","Not applicable | evidence: No explicit sample compositions including healthy controls provided. | justification: Since healthy controls are not present, composition criteria do not apply.","Yes | justification: The description states use of integrated chemical, phospho-, and ADP-ribosylation proteomics approaches, confirming the dataset is based on proteomics.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and includes proteomics data, it lacks healthy control samples, thus failing the healthy control inclusion criterion.",No,False
PXD031518,,gpt-4.1-mini-2025-04-14,"Yes | justification: The title and description specifically mention high-grade serous ovarian cancer (HGSOC), indicating the dataset is focused on ovarian cancer.",No | evidence: The description focuses on patients with HGSOC and gross morphologic classification. There is no mention of healthy control samples being included. | justification: No indication of healthy controls in the dataset information provided.,"Not applicable | evidence: No explicit sample composition details or mention of healthy controls available. | justification: Since no healthy controls are included, this criterion does not apply.",No | justification: The dataset description focuses on morphologic classification and clinical outcomes; no mention of proteomic data or analysis was provided.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: No | justification: While the dataset is about ovarian cancer, it lacks healthy controls and proteomics data, disqualifying it from inclusion per the given criteria.",No,False
PXD031929,,gpt-4.1-mini-2025-04-14,Yes | justification: The dataset is focused on high-grade serous ovarian cancer (HGSOC) tissues and their proteomic alterations in relation to chemotherapy and residual disease.,No | evidence: The description references matched chemotherapy naïve and NACT-treated ovarian cancer tumor tissues but does not mention any healthy control samples. | justification: No indication of healthy controls present in the dataset is given.,"Not applicable | evidence: No information provided about sample composition including healthy controls. | justification: Since healthy controls are absent, this criterion does not apply.",Yes | justification: The study assessed proteomic alterations and describes distinct proteome profiles in ovarian cancer tumor samples.,"meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: The dataset is about ovarian cancer and involves proteomics analysis, but it does not include healthy controls which is a required criterion for inclusion.",No,False
PXD019914,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset title and description explicitly state it is about high-grade serous ovarian carcinoma (HGSC), a subtype of ovarian cancer.",No | evidence: The dataset description only mentions analysis of 119 HGSC tumor tissues from TCGA. | justification: No mention is made of any healthy control samples included in the dataset.,"Not applicable | evidence: No explicit sample composition including healthy controls is provided. | justification: Since no healthy control samples are indicated, assessment of their proportion is not applicable.","Yes | justification: The dataset involves mass-spectrometry-based glycoproteomic characterization and profiling of glycosites and glycans, which falls under proteomics.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and uses proteomics approaches, it does not include healthy controls; therefore, it does not meet all inclusion criteria.",No,False
PXD022996,,gpt-4.1-mini-2025-04-14,No | justification: The dataset description does not mention ovarian cancer specifically; it focuses on evaluating missing value imputation methods in proteomic datasets generally.,"Unclear | evidence: The description references three DIA-MS datasets including a dilution series, a small pilot, and a larger proteomic dataset but does not specify if any include healthy controls. | justification: No explicit mention of healthy controls in any dataset.","Not applicable | evidence: Sample composition details are not provided. | justification: Without explicit information on sample composition, we cannot assess healthy control proportion.",Yes | justification: The dataset involves label-free DIA-MS proteomic data sets and evaluation of protein quantification imputation methods.,"meets ovarian cancer criterion: No | meets healthy controls criterion: Unclear | meets proteomics criterion: Yes | justification: The dataset meets the proteomics criterion but does not specify ovarian cancer or healthy controls; therefore, it does not fulfill the ovarian cancer and healthy control criteria.",No,False
PXD000100,,gpt-4.1-mini-2025-04-14,"Yes | justification: The dataset specifically involves plasma samples from ovarian cancer patients, indicating it is about ovarian cancer.",No | evidence: Samples are from ovarian cancer patients and patients with benign ovarian tumors. | justification: No mention of healthy control samples; only cancer and benign tumor patients are included.,"Not applicable | justification: Since no healthy controls are included, this criterion does not apply.","Yes | justification: The dataset involves targeted measurement of cancer-associated proteins using mass spectrometry (mProphet analysis), which is a proteomics technique.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: While the dataset is about ovarian cancer and uses proteomics, it lacks healthy controls, which is required for inclusion.",No,False
PXD013811,,gpt-4.1-mini-2025-04-14,"Yes | justification: The title and description explicitly state the focus is on ovarian cancer, including references to OC and epithelial ovarian cancer (EOC).",Unclear | evidence: The dataset description does not mention the inclusion of healthy control samples. | justification: No information about healthy controls is provided in the description.,"Not applicable | evidence: No sample composition data provided. | justification: Without explicit sample composition, this criterion cannot be assessed.","Yes | justification: The description mentions 'proteomic analysis' to identify therapeutic targets, indicating the dataset includes proteomics data.","meets ovarian cancer criterion: Yes | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Dataset clearly focuses on ovarian cancer and includes proteomics data but lacks evidence of healthy controls, which is required.",No,False
PXD016996,,gpt-4.1-mini-2025-04-14,"No | justification: The dataset focuses on NK cell proteome response to tumor microenvironment in general, with no indication that it specifically addresses ovarian cancer.",No | evidence: Description mentions NK cells exposed to tumor microenvironment or control media but does not reference healthy control samples related to ovarian cancer or humans. | justification: No mention or evidence of healthy control samples in the context of ovarian cancer or proteomics in the description.,"Not applicable | justification: Since healthy controls are not indicated, sample composition concerning healthy controls is not applicable.",Yes | justification: The description explicitly states that global differences in protein levels were assessed via proteomics.,"meets ovarian cancer criterion: No | meets healthy controls criterion: No | meets proteomics criterion: Yes | justification: Although the dataset involves proteomics, it does not meet the ovarian cancer or healthy controls criteria; thus, it should be excluded.",No,False
