custom_id,error,model,Q1,Q2,Q3,Q4,in_actual
samples_table_GSE52717.csv,,gpt-5-mini-2025-08-07,"No | evidence: Dataset sample annotations list sample IDs and sample types (e.g., 'TT1 patient-derived non-small cell lung cancer xenograft', 'MCIC1 patient-derived non-small cell lung cancer xenograft metastasis associated cancer initiating cells', many MCF7/MCF10A cell lines). No columns or variables for overall survival, progression-free survival, survival time, or vital status are present in the provided metadata. | justification: The provided SuperSeries/sample table contains only sample names, source names, tissue/cell type and similar experimental annotations; there are no patient-specific clinical fields for survival status or survival time.","No | stage i evidence: No staging information (e.g., AJCC stage I/II/III/IV) appears in the sample annotations; samples are xenografts and cell lines rather than primary patient-stage labels. | act evidence: No annotation of adjuvant chemotherapy (ACT) or treatment variables is present in the provided metadata. | justification: All entries describe experimental samples (cell lines, single cells, patient-derived xenografts/cancer initiating cells) with no clinical stage or treatment fields; therefore neither >50% stage I composition nor explicit ACT annotation can be established.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-level survival time/status variables and contains no staging or adjuvant chemotherapy annotations. It does not meet either inclusion criterion.,No,False
samples_table_GSE171702.csv,,gpt-5-mini-2025-08-07,"No | evidence: Columns present: GPL14550_Group, GPL14550_Accession, GPL14550_Title, GPL14550_Source name 1, GPL14550_Source name 2, GPL14550_Tissue (Ch1), GPL14550_Gender (Ch1), GPL14550_Histology (Ch1), GPL14550_Stage (Ch1), GPL14550_Age (Ch1), GPL14550_Tissue (Ch2). No patient-level survival time or survival status fields (e.g., OS_time, OS_status, PFS_time, PFS_status, RFS_time, RFS_status). | justification: The dataset provides clinical annotations (histology, stage, age, gender) but does not include any variables indicating survival time or event status, so it fails the survival-data inclusion criterion.","No | stage i evidence: Stage column values shown for 32 tumor samples: majority are Stage 4 (many entries '4'), with a few Stage 3A/3B and 2B and a single 1A. Only 1/32 samples labeled Stage 1A (~3%). | act evidence: No column or annotation indicating adjuvant chemotherapy (ACT) status or treatment annotations is present in the provided fields. | justification: The cohort does not have >50% Stage I patients (only one Stage I) and contains no explicit ACT annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails primary requirement of patient-level survival time/status variables and also fails the secondary requirement (neither majority Stage I patients nor explicit adjuvant chemotherapy annotation). Therefore it does not meet inclusion criteria.,No,False
samples_table_GSE18346.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata columns: 'GPL9137_Tissue (Ch1)', 'GPL9137_Patient (Ch1)', 'GPL9137_Tissue (Ch2)', 'GPL9137_Patient (Ch2)' and sample rows listing 'normal lung' and 'lung tumor, diagnostic NSCLC'. No columns or values for overall survival, progression-free survival, survival time, or survival status are present. | justification: The dataset appears to be a paired tumor vs normal splice-array study with only tissue and patient identifiers; there are no patient-level survival time or status variables provided.","No | stage i evidence: No staging information is provided in the header or sample rows; samples are labeled only as 'normal lung' and 'lung tumor, diagnostic NSCLC'. | act evidence: No adjuvant chemotherapy (ACT) annotation is present in the metadata or sample descriptions. | justification: The dataset lacks any stage annotations (including Stage I) and contains no explicit ACT treatment labels, so it cannot be confirmed to meet the >50% Stage I or ACT annotation inclusion criterion.",meets survival criterion: No | meets stage or act criterion: No | justification: The study provides neither patient-specific survival time/status variables nor staging or adjuvant chemotherapy annotations required by the inclusion criteria. It is a paired tumor/normal splice-array dataset without the needed clinical outcome or treatment/stage metadata.,No,False
samples_table_GSE26241.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata lists only A549 cell line samples (GSM644066–GSM644083) with columns: 'Cell line','Transfection','Treatment','Time' (e.g., siControl, +TGFbeta, 8 hours). No fields for overall survival, progression-free survival, survival time, or survival status are present. | justification: This is an in vitro cell‑line microarray experiment (A549), not patient data; no patient‑specific survival variables are provided.","No | stage i evidence: All entries describe A549 human lung cancer cell line samples; there are no patient records or tumor stage annotations in the provided metadata. | act evidence: No mention of adjuvant chemotherapy or any clinical treatment annotations—only experimental treatments (TGFbeta, siRNA) are listed. | justification: Dataset contains only cell‑line experimental conditions with no clinical staging or ACT annotation, so it cannot meet the >50% stage I or explicit ACT criteria.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset is an in vitro A549 cell‑line expression study without patient-level clinical or follow-up data and lacks staging or adjuvant chemotherapy annotations; therefore it does not meet either inclusion criterion.,No,False
samples_table_GSE136932.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata rows show fields like 'GPL13497_Cell line' (A549, H1975) and 'GPL13497_Treatment time' with values '6h' and '24h' (hours). No patient-level survival status or time variables (OS/PFS/RFS) present. | justification: This is an in vitro cell line experiment (A549, H1975) with treatment conditions and short treatment durations in hours; no patient-specific survival status or survival time variables are provided.","No | stage i evidence: No clinical staging fields present; sample entries are cell lines (A549, H1975), not patient records. | act evidence: No annotation or field indicating adjuvant chemotherapy; treatment refers to Pirfenidone or PBS in cell lines. | justification: Dataset contains lab cell line treatments, not clinical patient data, so >50% Stage I composition cannot be assessed and there is no ACT annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-level survival variables and lacks clinical staging or ACT annotation. It is an in vitro transcriptional profiling study of cancer cell lines, not a clinical NSCLC patient cohort.",No,False
samples_table_GSE184414.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata lists GPL15207_Cell type/Cell line entries for A549 biological replicates and berberine-treated A549; no patient IDs, no survival status or time fields (OS, PFS, RFS) are present. | justification: This is an in vitro cell line expression dataset (A549) with biological replicates; there are no patient-specific clinical variables or survival time/status annotations.","No | stage i evidence: No staging information provided; samples are cell line replicates (A549), not patient samples, so percent stage I cannot be determined. | act evidence: No adjuvant chemotherapy (ACT) annotation present in the metadata; study describes berberine treatment of cell lines, not clinical ACT. | justification: Dataset contains treated and untreated A549 cell line samples rather than clinical patient data, so neither stage distribution nor ACT annotations apply.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset is an in vitro experiment on the A549 lung adenocarcinoma cell line (pre/post berberine treatment) with no patient-level clinical or survival data and no staging or adjuvant chemotherapy annotations; it therefore does not meet inclusion criteria.,No,False
samples_table_GSE229302.csv,,gpt-5-mini-2025-08-07,"No | evidence: ""GPL18058_Status after 5 years"" column with values: Alive, Dead (e.g., 'Alive','Dead') | justification: Only a fixed-time status at 5 years is provided. There is no patient-specific survival time or follow-up duration variable (no OS time, PFS time, or time-to-event reported).","No | stage i evidence: Stage column values: IIB, IIIA, IB, IIB, IIIA, IB (2 of 6 samples are stage IB → 33% stage I) | act evidence: No columns or annotations indicating adjuvant chemotherapy (ACT) are present. | justification: Fewer than 50% of samples are Stage I (2/6 = 33%). There is no explicit ACT annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival time (only 5-year status provided) and does not meet the stage/ACT criterion (only 33% Stage I and no ACT annotation).,No,False
samples_table_GSE115456.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata fields: 'GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Tissue,GPL570_Cell line,GPL570_Cell type,GPL570_Histology,GPL570_Treatment' and rows listing cell lines (H1975, 2106T) and treatments (control, PMA, LPA, EGF, HB-EGF). No patient-level variables for overall survival, progression-free survival, survival time, or survival status are present. | justification: This dataset contains gene expression profiles from NSCLC cell lines (H1975, 2106T) under various treatments. There are no patient-specific records or survival/time-to-event fields.","No | stage i evidence: The 'GPL570_Histology' field lists cell line histology (adenocarcinoma, squamous cell carcinoma) for cell lines H1975 and 2106T. There is no staging information (e.g., Stage I) for patients. | act evidence: No annotation indicating adjuvant chemotherapy (ACT) is present in the 'GPL570_Treatment' column, which contains experimental treatments (control, PMA, LPA, EGF, HB-EGF) for cell lines rather than clinical ACT status. | justification: Dataset comprises in vitro cell-line experiments without patient staging or clinical treatment annotations. Therefore it cannot meet the >50% Stage I or explicit ACT annotation criterion.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-level survival status/time variables and lacks patient-stage or adjuvant chemotherapy annotations. It is an in vitro cell-line study, not a clinical cohort, so it does not meet either inclusion criterion.",No,False
samples_table_GSE23066.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata columns: GPL570_Group,GPL570_Accession,GPL570_Title,GPL570_Source name,GPL570_Cell type,GPL570_Patient. Rows list fibroblast samples and patient IDs only (e.g., Patient 13,1061,2106,2183,2299). No variables for overall survival, progression-free survival, recurrence status, survival time, or dates are present. | justification: The dataset contains only tissue/cell-type and patient identifiers for 5 patients; there are no patient-specific survival status or survival time variables.",No | stage i evidence: Title/summary state '5 newly diagnosed patients' but provide no staging information (no stage I/II/III/IV labels) in metadata or description. | act evidence: There is no annotation or field indicating adjuvant chemotherapy (ACT) status for any patient in the provided metadata. | justification: Neither majority (>50%) stage I composition nor explicit ACT annotation can be established from the available information.,"meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-level survival status/time variables required for the survival criterion, and contains no staging or adjuvant chemotherapy annotations to satisfy the stage I or ACT criterion. Therefore it does not meet the inclusion requirements.",No,False
samples_table_GSE136933.csv,,gpt-5-mini-2025-08-07,"No | evidence: Metadata lines show GPL13497_Cell line (A549, H1975 not listed in provided lines except A549) and treatment/time columns (Treatment, Treatment time: PBS/Pirfenidone, 6h). No columns for survival time or status (OS, PFS, RFS). | justification: This is an in vitro cell line transcriptional experiment (A549, H1975) with treatment/time labels; there are no patient-specific survival status or time variables.","No | stage i evidence: No clinical stage information present. The dataset describes cell lines (A549/H1975) and treatment conditions, not patient staging. | act evidence: No annotation for adjuvant chemotherapy or any patient treatment recorded; only experimental drug treatment (Pirfenidone) on cell lines is listed. | justification: Dataset contains laboratory cell-line samples and experimental treatment/time metadata, so >50% stage I or explicit ACT annotation cannot be assessed and are absent.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-level survival time/status variables and lacks clinical stage or adjuvant chemotherapy annotations (is an in vitro cell line study).,No,False
samples_table_GSE32989.csv,,gpt-5-mini-2025-08-07,"No | evidence: Column headers and sample metadata show cell line identifiers and attributes (GPL13376_Cell line, GPL13376_Histology, Age, Race, Gender). No patient-level survival variables (OS/PFS/RFS time or status) are present; dataset is cell lines rather than clinical patient data. | justification: This dataset contains expression profiles from NSCLC cell lines and associated cell-line metadata only; there are no survival time or event/status variables for patients.","No | stage i evidence: No stage-related fields are present in the metadata (only 'Histology' is listed). Samples are cell lines, not staged patient tumors. | act evidence: No fields or annotations indicating adjuvant chemotherapy (ACT) status are present in the provided metadata. | justification: The dataset does not contain patient-stage information nor ACT annotation; sample composition cannot be assessed for >50% Stage I because samples are cell lines.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-specific survival time/status variables and lacks stage or ACT information (samples are cell lines). Therefore it does not meet inclusion criteria.,No,False
samples_table_GSE49644.csv,,gpt-5-mini-2025-08-07,"No | evidence: Title: 'Gene expression profiling of NSCLC cell lines...'; sample table lists GSM entries with 'Cell line' values (A549, HCC827, NCI-H358) and no clinical variables. No fields for survival time or status (OS, PFS, RFS) are present. | justification: The dataset comprises experimental cell-line samples, not patient records, and contains no patient-specific survival status or time variables.","No | stage i evidence: Samples are labeled as cell lines (A549, HCC827, NCI-H358); there are no stage annotations (e.g., Stage I) or patient-stage information in the metadata. | act evidence: No adjuvant chemotherapy (ACT) annotation is present in the title, summary, or sample metadata. | justification: Dataset consists solely of in vitro cell line experiments without clinical staging or treatment annotation.","meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required inclusion criteria: no patient-specific survival time/status variables, and no cohort-level Stage I majority or ACT annotation because samples are cell lines rather than patient data.",No,False
samples_table_GSE222124.csv,,gpt-5-mini-2025-08-07,"No | evidence: Sample metadata rows and columns (GPL570_Group,...,GPL570_Cell line, GPL570_Tissue, GPL570_Agent, GPL570_Time point) list cell lines (Jurkat, THP1, KHYG-1) and treatment/time points; no fields for overall survival, progression-free survival, survival time, or survival status. | justification: All provided records are in vitro cell line samples with treatment/time-point annotations. There are no patient-specific clinical variables or survival status/time fields.","No | stage i evidence: None — no patient records or tumor staging fields present in metadata. | act evidence: None — no annotation of adjuvant chemotherapy or any treatment received by patients (samples are cell lines treated in vitro). | justification: Dataset contains only cell line experiments (Jurkat, THP1, KHYG-1) treated with glycodelin; there is no patient cohort, staging information, or ACT annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required inclusion criteria: lacks patient-level survival status/time variables and lacks any patient-stage or ACT information (samples are in vitro cell lines).,No,False
samples_table_GSE77209.csv,,gpt-5-mini-2025-08-07,"No | evidence: Header columns: GPL10558_Group,GPL10558_Accession,GPL10558_Title,GPL10558_Source name,GPL10558_Treatment,GPL10558_Histology,GPL10558_Age,GPL10558_Gender,GPL10558_Race,GPL10558_Smoker,GPL10558_Pack-years. No OS/PFS/RFS status or time fields present. | justification: Metadata lists treatment, histology, demographics, smoking but contains no patient-specific survival status or survival time variables.","No | stage i evidence: No column for tumor stage is present in the metadata. | act evidence: The 'GPL10558_Treatment' entries describe chemotherapy cycles applied to cell lines/xenografts (e.g., '5 cycles of paclitaxel+carboplatin') or experimental drug exposures, not clinical adjuvant chemotherapy annotations for patient cohorts. | justification: This is a preclinical dataset (cell lines and mouse xenografts) without clinical staging or explicit patient-level adjuvant chemotherapy annotation; therefore it cannot be considered >50% stage I or annotated for ACT.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: no patient-specific survival time/status variables and no clinical stage or patient-level adjuvant chemotherapy annotation (dataset consists of preclinical cell line/xenograft samples).,No,False
samples_table_GSE197109.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided table headers: GPL15207_Group,GPL15207_Accession,GPL15207_Title,GPL15207_Source name,GPL15207_Cell line,GPL15207_Cell type; rows list 15 NSCLC cell lines (A549, Calu1, Calu3, etc.). No variables for OS, PFS, RFS, survival time, or survival status present. | justification: Dataset contains transcriptome profiles of NSCLC cell lines (n=15) rather than patient records; no patient-specific survival status or time variables are included.","No | stage i evidence: No clinical stage information provided; samples are cell lines, not clinical patients. | act evidence: No adjuvant chemotherapy or treatment annotation present in the provided metadata. | justification: Dataset is entirely cell lines with no staging or treatment annotations; cannot determine any proportion of stage I patients or presence of ACT annotation.",meets survival criterion: No | meets stage or act criterion: No | justification: Fails both required criteria: lacks patient-level survival status/time data and lacks clinical stage or ACT annotations (cell-line study). Therefore it does not meet inclusion criteria.,No,False
samples_table_GSE175601.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided sample table and study summary list only sample IDs, tissue, and disease state (NSCLC with/without bone metastasis). No patient-level fields for overall survival, progression-free survival, relapse-free survival, survival time, or vital status are present. | justification: The dataset is a microarray comparison of tumor samples with vs without bone metastasis and contains only sample metadata (GSM IDs, tissue, disease state). There are no patient-specific survival time or status variables.",No | stage i evidence: No staging information provided in the sample metadata or study summary (only 'with bone metastasis' or 'without bone metastasis'). | act evidence: No annotation for adjuvant chemotherapy or treatment status is present in the provided metadata or summary. | justification: Neither stage (including Stage I proportion) nor explicit adjuvant chemotherapy annotation is reported; sample composition by stage cannot be determined.,meets survival criterion: No | meets stage or act criterion: No | justification: The dataset fails the first required criterion because it lacks patient-level survival status/time variables. It also fails the second criterion because there is no information on stage distribution (≥50% Stage I) nor any adjuvant chemotherapy annotation. Therefore it does not meet inclusion requirements.,No,False
samples_table_GSE209983.csv,,gpt-5-mini-2025-08-07,"No | evidence: Provided table lists sample IDs (GSM6412077–GSM6412080), source name 'Mouse xenograft', tissue 'Tumor'. No columns or variables for survival time or survival status (OS/PFS/RFS) are present. | justification: This is a preclinical mouse xenograft expression dataset with only sample identifiers and tissue/source annotations; no patient-level clinical survival variables are included.","No | stage i evidence: No staging information provided in the sample annotations or summary; samples are described as 'Mouse xenograft' tumor samples. | act evidence: No adjuvant chemotherapy (ACT) annotation or treatment details are provided in the dataset description or sample metadata. | justification: Dataset contains engineered xenograft samples, not clinical patient cohorts, so neither stage distribution nor ACT annotations are available.","meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival time/status variables and does not provide clinical staging or adjuvant chemotherapy annotation. It is a mouse xenograft experiment rather than a human clinical cohort, so it does not meet inclusion criteria.",No,False
samples_table_GSE203510.csv,,gpt-5-mini-2025-08-07,"No | evidence: Available columns: GPL19162_Group, GPL19162_Accession, GPL19162_Title, GPL19162_Source name, GPL19162_Gender, GPL19162_Msc status, GPL19162_Disease state. No fields for overall survival (OS) time or status, progression-free survival (PFS) time or status, recurrence-free survival (RFS), or similar. | justification: The dataset contains clinical/sample descriptors (gender, disease state, MSC status) but does not include any patient-level survival time or event/status variables required by the inclusion criteria.","No | stage i evidence: Study describes a plasma cohort of 10 NSCLC patients and 10 healthy donors. There are no columns or annotations indicating tumor stage (e.g., Stage I) for any patient. | act evidence: No fields or annotations indicating adjuvant chemotherapy (ACT) status are present. | justification: Neither a majority (>50%) of patients identified as Stage I nor explicit ACT annotations are provided; stage and treatment information are absent.",meets survival criterion: No | meets stage or act criterion: No | justification: The dataset lacks patient-specific survival time/status variables and does not provide stage or adjuvant chemotherapy annotations. Therefore it does not meet either required inclusion criterion.,No,False
