Model,Version,Trial,Target_Disease,File,true_positive,false_positive,false_negative,true_negative,total_files_evaluated,sensitivity,specificity,precision,accuracy,f1_score
GPT-5-mini,v1,seed44,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-44.jsonl,8,0,2,46,56,0.8,1.0,1.0,0.964,0.889
GPT-5-mini,v1,seed45,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-45.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed45,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-45.jsonl,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
GPT-5-mini,v1,seed45,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-45.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed45,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-45.jsonl,8,0,2,46,56,0.8,1.0,1.0,0.964,0.889
GPT-5-mini,v1,seed46,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-46.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed46,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-46.jsonl,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed46,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-46.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed46,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-46.jsonl,9,0,1,46,56,0.9,1.0,1.0,0.982,0.947
GPT-5-mini,v1,seed47,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-47.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed47,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-47.jsonl,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed47,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-47.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed47,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-47.jsonl,9,0,1,46,56,0.9,1.0,1.0,0.982,0.947
GPT-5-mini,v1,seed48,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-48.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed48,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-48.jsonl,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed48,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-48.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed48,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-48.jsonl,9,0,1,46,56,0.9,1.0,1.0,0.982,0.947
GPT-5-mini,v1,seed49,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-49.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed49,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-49.jsonl,4,0,2,25,31,0.667,1.0,1.0,0.935,0.8
GPT-5-mini,v1,seed49,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-49.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed49,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-49.jsonl,7,0,3,46,56,0.7,1.0,1.0,0.946,0.824
GPT-5-mini,v1,seed50,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-50.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed50,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-50.jsonl,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
GPT-5-mini,v1,seed50,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-50.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed50,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-50.jsonl,8,0,2,46,56,0.8,1.0,1.0,0.964,0.889
GPT-5-mini,v1,seed51,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-51.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,seed51,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-51.jsonl,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed51,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-51.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,seed51,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1-51.jsonl,9,0,1,46,56,0.9,1.0,1.0,0.982,0.947
GPT-5-mini,v1,,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
GPT-5-mini,v1,,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1.jsonl,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
GPT-5-mini,v1,,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-gpt-5-mini-arrayexpress-v1.jsonl,9,0,1,46,56,0.9,1.0,1.0,0.982,0.947
ensemble-or,v1,seed43,AD,ensemble,2,0,0,9,11,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed43,ALS-FTD,ensemble,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed43,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed43,all-diseases,ensemble,10,0,0,46,56,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed44,AD,ensemble,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
ensemble-or,v1,seed44,ALS-FTD,ensemble,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
ensemble-or,v1,seed44,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed44,all-diseases,ensemble,9,1,1,45,56,0.9,0.978,0.9,0.964,0.9
ensemble-or,v1,seed45,AD,ensemble,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
ensemble-or,v1,seed45,ALS-FTD,ensemble,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
ensemble-or,v1,seed45,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed45,all-diseases,ensemble,8,0,2,46,56,0.8,1.0,1.0,0.964,0.889
ensemble-or,v1,seed46,AD,ensemble,2,0,0,9,11,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed46,ALS-FTD,ensemble,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed46,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed46,all-diseases,ensemble,10,0,0,46,56,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed47,AD,ensemble,2,0,0,9,11,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed47,ALS-FTD,ensemble,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed47,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed47,all-diseases,ensemble,10,0,0,46,56,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed48,AD,ensemble,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
ensemble-or,v1,seed48,ALS-FTD,ensemble,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed48,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed48,all-diseases,ensemble,10,1,0,45,56,1.0,0.978,0.909,0.982,0.952
ensemble-or,v1,seed49,AD,ensemble,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
ensemble-or,v1,seed49,ALS-FTD,ensemble,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
ensemble-or,v1,seed49,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed49,all-diseases,ensemble,9,1,1,45,56,0.9,0.978,0.9,0.964,0.9
ensemble-or,v1,seed50,AD,ensemble,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
ensemble-or,v1,seed50,ALS-FTD,ensemble,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
ensemble-or,v1,seed50,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed50,all-diseases,ensemble,9,1,1,45,56,0.9,0.978,0.9,0.964,0.9
ensemble-or,v1,seed51,AD,ensemble,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
ensemble-or,v1,seed51,ALS-FTD,ensemble,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed51,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,seed51,all-diseases,ensemble,10,1,0,45,56,1.0,0.978,0.909,0.982,0.952
ensemble-or,v1,,AD,ensemble,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
ensemble-or,v1,,ALS-FTD,ensemble,6,0,0,25,31,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,,LBD,ensemble,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
ensemble-or,v1,,all-diseases,ensemble,10,1,0,45,56,1.0,0.978,0.909,0.982,0.952
o4-mini,v1,seed43,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-43.jsonl,2,0,0,9,11,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed43,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-43.jsonl,3,0,3,25,31,0.5,1.0,1.0,0.903,0.667
o4-mini,v1,seed43,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-43.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed43,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-43.jsonl,7,0,3,46,56,0.7,1.0,1.0,0.946,0.824
o4-mini,v1,seed44,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-44.jsonl,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
o4-mini,v1,seed44,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-44.jsonl,2,0,4,25,31,0.333,1.0,1.0,0.871,0.5
o4-mini,v1,seed44,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-44.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed44,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-44.jsonl,6,1,4,45,56,0.6,0.978,0.857,0.911,0.706
o4-mini,v1,seed45,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-45.jsonl,1,0,1,9,11,0.5,1.0,1.0,0.909,0.667
o4-mini,v1,seed45,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-45.jsonl,4,0,2,25,31,0.667,1.0,1.0,0.935,0.8
o4-mini,v1,seed45,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-45.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed45,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-45.jsonl,7,0,3,46,56,0.7,1.0,1.0,0.946,0.824
o4-mini,v1,seed46,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-46.jsonl,2,0,0,9,11,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed46,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-46.jsonl,3,0,3,25,31,0.5,1.0,1.0,0.903,0.667
o4-mini,v1,seed46,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-46.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed46,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-46.jsonl,7,0,3,46,56,0.7,1.0,1.0,0.946,0.824
o4-mini,v1,seed47,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-47.jsonl,2,0,0,9,11,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed47,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-47.jsonl,3,0,3,25,31,0.5,1.0,1.0,0.903,0.667
o4-mini,v1,seed47,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-47.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed47,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-47.jsonl,7,0,3,46,56,0.7,1.0,1.0,0.946,0.824
o4-mini,v1,seed48,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-48.jsonl,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
o4-mini,v1,seed48,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-48.jsonl,3,0,3,25,31,0.5,1.0,1.0,0.903,0.667
o4-mini,v1,seed48,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-48.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed48,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-48.jsonl,7,1,3,45,56,0.7,0.978,0.875,0.929,0.778
o4-mini,v1,seed49,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-49.jsonl,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
o4-mini,v1,seed49,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-49.jsonl,5,0,1,25,31,0.833,1.0,1.0,0.968,0.909
o4-mini,v1,seed49,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-49.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed49,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-49.jsonl,9,1,1,45,56,0.9,0.978,0.9,0.964,0.9
o4-mini,v1,seed50,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-50.jsonl,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
o4-mini,v1,seed50,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-50.jsonl,2,0,4,25,31,0.333,1.0,1.0,0.871,0.5
o4-mini,v1,seed50,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-50.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed50,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-50.jsonl,6,1,4,45,56,0.6,0.978,0.857,0.911,0.706
o4-mini,v1,seed51,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-51.jsonl,2,1,0,8,11,1.0,0.889,0.667,0.909,0.8
o4-mini,v1,seed51,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-51.jsonl,2,0,4,25,31,0.333,1.0,1.0,0.871,0.5
o4-mini,v1,seed51,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-51.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,seed51,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1-51.jsonl,6,1,4,45,56,0.6,0.978,0.857,0.911,0.706
o4-mini,v1,,AD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1.jsonl,1,1,1,8,11,0.5,0.889,0.5,0.818,0.5
o4-mini,v1,,ALS-FTD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1.jsonl,4,0,2,25,31,0.667,1.0,1.0,0.935,0.8
o4-mini,v1,,LBD,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1.jsonl,2,0,0,12,14,1.0,1.0,1.0,1.0,1.0
o4-mini,v1,,all-diseases,/Users/owensun/Downloads/code/finding-datasets-with-LLMs/ArrayExpress/out-o4-mini-arrayexpress-v1.jsonl,7,1,3,45,56,0.7,0.978,0.875,0.929,0.778
