custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-47554,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"No | evidence: Assays: Array assay on RNA from xenografted tumors in mice | justification: Although microarrays were used, the samples derive from mouse xenografts of a human cell line, not profiling human patient tissue.","No | evidence: Title and Description focus on gastric carcinoma metastasis in a mouse model | justification: The study investigates gastric cancer metastasis, not ALS‐FTD.",No | evidence: Organism part: Xenografted tumors in stomach and ovary | justification: No CNS or brain tissue is profiled.,"Yes | evidence: Description: orthotopic gastric cancer mouse model | justification: This is an experimental in vivo mouse model using engineered tumor cell lines, not clinical patient samples.",No | evidence: Sample count: 4; all from tumor xenografts | justification: No healthy/control group—only tumor‐derived samples were profiled.,No | evidence: Sample tissues: stomach wall and ovarian metastases | justification: No brain regions are sampled at all.,No | evidence: Study type: transcription profiling by array | justification: Microarray technology is compatible with inclusion criteria.,"justification: Excluded: Not ALS-FTD, no human CNS tissue, non-clinical mouse model, no case/control design.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-52390,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Uses Infinium HumanHT-12 microarray platform for gene expression profiling in human samples,"No | evidence: Title: Integrative DNA methylation and gene expression analysis in high-grade soft tissue sarcomas | justification: Study focuses on soft tissue sarcomas, not ALS-FTD",No | evidence: Samples from primary high-grade soft tissue sarcomas and sarcoma cell lines | justification: No CNS or brain tissue samples included,"Yes | evidence: Includes 13 representative sarcoma cell lines (e.g., HT1080, MLS402, SW872) | justification: Contains patient-derived tumor cell lines (in vitro)",No | evidence: Experimental Designs: Not found; no case/control groups defined | justification: No case versus control study design described,"No | evidence: Tissue types are sarcomas, not brain regions | justification: No brain regions sampled, only soft tissue sarcomas",No | evidence: Technology: Array assay | justification: Uses compatible microarray technology,"justification: Dataset is about soft tissue sarcomas and includes tumor cell lines without ALS-FTD patient CNS samples or case/control design, thus not meeting target disease or tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-5287,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Assays and Data: Technology: Array assay; Assay by Molecule: RNA assay | justification: The experiment used Affymetrix GeneChip microarrays to profile RNA from human tumor samples.,"No | evidence: Title: Transcription profiling of human advanced bladder cancer; Description: study of cisplatin response in bladder carcinoma | justification: The dataset focuses on bladder cancer, not ALS-FTD.","No | evidence: Experimental Designs and Samples: tumor material from bladder cancer patients | justification: Samples were taken from bladder tumors, not CNS or brain tissue.","No | evidence: Description: tumor material from 30 patients | justification: The study used primary patient tumor tissue, not in vitro cell lines or disease models.","No | evidence: Description and Experimental Design: correlation of gene expression with survival, no control group | justification: The design is prognostic correlation, not a case versus healthy control comparison.","Yes | evidence: Samples: bladder tumor tissue | justification: Tissue is from bladder, a non-CNS organ irrelevant to ALS-FTD neurodegeneration.","No | evidence: Study type: transcription profiling by array | justification: The technology used is microarray, which is compatible with inclusion criteria.","justification: Although the dataset uses human microarray profiling, it studies bladder cancer rather than ALS-FTD and does not sample CNS tissue, so it does not meet disease or tissue criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-52917,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; 53 Affymetrix miRNA 3.0 arrays used for ncRNA profiling. | justification: Uses microarray technology to profile non-coding RNAs in human samples.,"Yes | evidence: Title and description refer to sporadic ALS, familial ALS cases and asymptomatic ALS mutation carriers. | justification: Dataset focuses on amyotrophic lateral sclerosis patients and carriers.","No | evidence: Samples are serum ncRNA profiles; no brain or CNS tissue is mentioned. | justification: Only peripheral (serum) samples were profiled, not CNS tissue.","No | evidence: Profiles obtained from patient serum samples, not from in vitro cell lines or disease models. | justification: Clinical samples directly from human subjects.",Yes | evidence: Comparisons made between ALS patients or mutation carriers and age- and gender-matched healthy controls. | justification: Clear case–control design with matched controls.,Yes | evidence: Sample type is serum rather than any brain region. | justification: No CNS regions were assayed; tissue irrelevant to neurodegeneration site.,No | evidence: Technology: Array assay (Affymetrix miRNA 3.0 arrays). | justification: Microarray expression profiling is compatible with inclusion criteria.,"justification: Although this is a human microarray case–control study of ALS, it uses serum rather than CNS tissue, failing the requirement for relevant brain region sampling.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-59128,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Dataset uses human RNA microarrays,No | evidence: Title and description focus on airway epithelial injury; no mention of ALS or FTD | justification: Not related to ALS-FTD pathology,No | evidence: Samples are airway epithelial basal cells from donated lungs | justification: No CNS or brain tissue included,Yes | evidence: Primary and differentiated airway epithelial cells cultured in vitro and subjected to mechanical injury or stretch | justification: Uses patient‐derived in vitro cell cultures,No | evidence: Experimental factors: injury type vs sham control in cell culture; no clinical case/control groups | justification: Not a case/control design comparing disease vs healthy subjects,"Yes | evidence: Organism part: airway epithelium; no brain regions sampled | justification: Samples are from non‐CNS tissue, not relevant to ALS-FTD sites",No | evidence: Microarray (Array assay) technology used | justification: Compatible with expression profiling by array,"justification: Dataset is non‐CNS, non‐ALS/FTD, in vitro cell model rather than clinical case/control; does not meet key inclusion criteria",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-60082,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay, RNA assay | justification: Dataset uses microarray-based expression profiling (array assay).","No | evidence: Title and description focus on malignant peripheral nerve sheath tumors (MPNST), not ALS or FTD | justification: The disease studied is MPNST, a peripheral sarcoma, unrelated to ALS-FTD. ",No | evidence: Samples are primary MPNSTs and mouse orthoxenografts of peripheral nerve tissue | justification: No human CNS (brain or spinal cord) tissue was profiled—only peripheral nerve sheath tumors. ,"Yes | evidence: Use of patient-derived MPNST orthoxenograft models in nude mice | justification: This is an in vivo preclinical disease model, not direct patient tissue. ","No | evidence: Study design describes tumor passages and treatment response, no ALS/control groups | justification: No case-control comparison of ALS-FTD patients vs healthy controls. ","Yes | evidence: Tissue sampled is peripheral nerve sheath in mouse xenografts, not CNS regions | justification: Peripheral nerve tumors are irrelevant to ALS-FTD affected CNS regions. ",No | evidence: Technology: Array assay (microarray) | justification: Microarray profiling is compatible with inclusion criteria. ,"justification: Excluded because the dataset studies peripheral nerve sheath tumors in mouse orthoxenografts, not human CNS tissue or ALS-FTD; uses a preclinical model; lacks case/control design; and the disease is irrelevant to ALS-FTD.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-67527,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay, RNA assay | justification: The dataset uses human microarray-based transcription profiling of RNA.","No | evidence: Disease: SPOAN (spastic paraplegia, optic atrophy, neuropathy) syndrome | justification: The study focuses on SPOAN syndrome, not ALS-FTD.","No | evidence: Organism part: Skin fibroblast | justification: Samples are skin fibroblasts, not CNS tissue.","Yes | evidence: Source Characteristics: Skin fibroblast | justification: The dataset uses patient-derived fibroblast cells in vitro, not clinical tissue.",Yes | evidence: 4 SPOAN patients vs 4 healthy controls | justification: The study compares patient and control groups in a case/control design.,"Yes | evidence: Organism part: Skin fibroblast | justification: Samples are from skin fibroblasts, not a CNS region affected in ALS-FTD.",No | evidence: Technology: Array assay | justification: The dataset uses compatible microarray technology.,"justification: Although the dataset uses human microarray profiling and a case/control design, it studies SPOAN syndrome in fibroblasts rather than ALS-FTD in CNS tissue.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-68240,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses microarray-based gene expression profiling on RNA,"Yes | evidence: Title: hiPSC-derived motor neurons: sporadic ALS patients vs. controls; Disease state: ALS | justification: Focus on amyotrophic lateral sclerosis (ALS), part of ALS-FTD spectrum",No | evidence: Samples are hiPSC-derived motor neurons from peripheral nerve fibroblasts | justification: No direct human CNS tissue samples; cells differentiated in vitro,Yes | evidence: Title and description: hiPSC-derived motor neurons from patient fibroblasts | justification: Involves patient-derived in vitro cell model rather than clinical tissue,"Yes | evidence: Two-condition experiment: ALS patient motor neurons vs. controls; Biological replicates: 3 ALS, 3 controls | justification: Clear case (ALS) versus control design",No | evidence: No brain tissue regions sampled; in vitro differentiated cells | justification: Not applicable as no anatomical brain region is profiled,"No | evidence: Technology: Array assay | justification: Uses microarray, compatible with inclusion criteria","justification: Although the dataset profiles human ALS samples by microarray in a case/control design, it uses patient-derived in vitro hiPSC motor neuron models rather than direct clinical CNS tissue, thus failing exclusion criterion 4.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-7423,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses human microarray expression profiling,"No | evidence: Diseases studied: Hereditary Motor and Sensory Neuropathies (HMSN1A, HMSN-LOM) and CCFDN syndrome | justification: Conditions are peripheral demyelinating neuropathies, not ALS-FTD","No | evidence: Samples: human Schwann cell lines (HMSN, CCFDN) | justification: Schwann cells are part of the peripheral nervous system, not CNS tissue",Yes | evidence: Samples are human Schwann cell lines from patients and controls | justification: Study uses patient-derived in vitro cell lines,Yes | evidence: Comparison of Schwann cell lines from neuropathy patients versus healthy subjects | justification: Design includes diseased versus control samples,"Yes | evidence: Organism part: Schwann cells (peripheral glia), not brain regions | justification: No CNS regions sampled; PNS tissue only",No | evidence: Technology: Array assay; Assay by Molecule: RNA | justification: Microarray platform is compatible,"justification: Exclusion: not ALS-FTD, no CNS tissue, uses cell lines; does not meet target disease or tissue criteria",No,No,False,,,,,,,,,
als-ftd-screened_E-MEXP-2280,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by molecule: RNA assay | justification: The dataset uses genome-wide expression profiling via microarray on human RNA samples.,"No | evidence: Title and description list neurodegenerative disorders AD, PSP, PiD and FTD; no mention of ALS or combined ALS-FTD | justification: Although FTD is included, the study does not involve ALS or the ALS-FTD disease spectrum.",Yes | evidence: Description: snap frozen post-mortem tissue from the medial temporal lobe; Organism: Homo sapiens | justification: Samples are human brain (medial temporal lobe) tissue.,"No | evidence: Source characteristics: post-mortem adult brain tissue; no cell lines or in vitro models noted | justification: All samples derive from patient post-mortem tissue, not in vitro or model systems.",Yes | evidence: Description: 5 patients per disease group and 5 control subjects; patients matched to controls | justification: The design compares disease cases to matched control samples.,Yes | evidence: Samples taken from medial temporal lobe | justification: Medial temporal lobe is not a primary region affected in ALS-FTD.,"No | evidence: Technology: Array assay; Study type: transcription profiling by array | justification: The platform is microarray, which is compatible.","justification: Although the study meets technical criteria (human microarray, CNS tissue, case/control), it does not target ALS-FTD and uses an irrelevant brain region, so it fails disease relevance criteria.",No,No,True,,,,,,,,,
als-ftd-screened_E-MEXP-3260,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: This is a human microarray-based gene expression profiling study.,"Yes | evidence: Disease: amyotrophic lateral sclerosis | justification: The study focuses on gene expression changes in skeletal muscle of ALS patients, thereby pertaining to ALS (an ALS-FTD spectrum disorder).","No | evidence: Source Characteristics: organism part: muscle | justification: Samples are from skeletal muscle biopsies, not CNS tissue.",No | evidence: Cell type/line: Not found; Organism part: muscle | justification: No patient‐derived in vitro cell lines or disease models are used; samples are direct muscle biopsies.,"Yes | evidence: Experimental Factors: DISEASE_STATE (normal, amyotrophic lateral sclerosis) | justification: The design compares ALS patient samples to healthy control muscle samples.","Yes | evidence: Organism part: muscle | justification: Muscle is not a CNS region affected by ALS‐FTD neurodegeneration, thus outside the relevant tissue scope.","No | evidence: Study type: transcription profiling by array | justification: The technology used is microarray expression profiling, which is compatible.","justification: Although the study meets criteria for human microarray expression profiling, ALS disease focus, and case/control design, it uses skeletal muscle rather than CNS tissue, which is outside the scope of ALS‐FTD CNS profiling.",No,No,False,,,,,,,,,
als-ftd-screened_E-MTAB-1925,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: The experiment uses microarray-based transcription profiling on human RNA samples.,"Yes | evidence: Disease: amyotrophic lateral sclerosis (C9ORF72 ALS) | justification: The dataset compares control and ALS patients carrying the C9ORF72 mutation, a form of ALS within the ALS-FTD spectrum.","Yes | evidence: Organism part: motor cortex | justification: Samples are post-mortem human motor cortex tissue, part of the CNS.","No | evidence: Samples: post-mortem brain tissue; no cell lines or in vitro models | justification: All samples are from human post-mortem CNS tissue, not derived cell lines or experimental models.",Yes | evidence: Experimental factor: disease (normal vs ALS) | justification: The study directly compares ALS patient samples to healthy controls in a case/control design.,No | evidence: Organism part: motor cortex | justification: Motor cortex is a primary CNS region affected in ALS and relevant to the disease.,"No | evidence: Technology: Array assay | justification: The dataset uses microarray technology, which is compatible with inclusion criteria.","justification: This dataset meets all inclusion criteria: it is a human microarray study of ALS patient versus control post-mortem CNS tissue (motor cortex) with a case/control design, and does not involve in vitro models or incompatible technologies.",Yes,Yes,True,,,,,,,,,
als-ftd-screened_E-MTAB-1926,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay | justification: Dataset uses microarray-based transcription profiling on human RNA samples,"No | evidence: Disease: SOD1 mutant amyotrophic lateral sclerosis, C9ORF72 amyotrophic lateral sclerosis; no frontotemporal dementia mentioned | justification: Targets ALS only, without any FTD component","No | evidence: Cell type: fibroblast | justification: Samples are patient-derived fibroblasts, not CNS tissue",Yes | evidence: Experimental design: in_vitro_design; Cell type: fibroblast | justification: Uses patient‐derived fibroblast cell lines in vitro,Yes | evidence: Comparison between ALS patient fibroblasts and healthy control fibroblasts | justification: Design includes case (ALS) and control (healthy) groups,Yes | evidence: Cell type: fibroblast (non-brain tissue) | justification: No CNS region sampled; fibroblasts are outside the nervous system,No | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: Microarray is compatible with the profiling criteria,justification: Excluded because samples are non‐CNS fibroblast cell lines and the study covers ALS only without FTD relevance,No,No,False,,,,,,,,,
als-ftd-screened_E-MTAB-1927,als-ftd-screened,ALS-FTD,,o4-mini-2025-04-16,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay | justification: The experiment uses microarray-based transcription profiling of RNA samples,"No | evidence: Disease: C9ORF72 ALS; SOD1 D90A ALS | justification: Only amyotrophic lateral sclerosis cases are studied, with no mention of frontotemporal dementia","No | evidence: Cell type: neuron differentiated from induced pluripotent stem cell | justification: Samples are in vitro iPSC-derived neurons, not primary human CNS tissue",Yes | evidence: Cell type: neuron differentiated from induced pluripotent stem cell | justification: This is a patient-derived in vitro disease model using iPSC-derived neurons,Yes | evidence: Experimental factor: disease; groups include mutant lines vs controls | justification: Transcriptomes of diseased (ALS mutations) vs control iPSC-neurons are compared,No | evidence: No anatomical source specified | justification: No actual brain region sampling is involved,No | evidence: Technology: Array assay | justification: Microarray expression profiling is used (no RNA-seq or proteomics),"justification: Although the dataset uses human microarray profiling, it is based on in vitro iPSC-derived neurons (non-clinical), involves only ALS (no FTD), and does not use primary CNS tissue, thus failing multiple inclusion criteria.",No,No,False,,,,,,,,,
