custom_id,source_list,target_disease,error,model,q1_human_microarray_expression_profiling,q2_target_disease,q3_human_cns_tissue,q4_non_clinical,q5_case_control_design,q6_irrelevant_brain_region,q7_incompatible_technology,q8_inclusion_justification,q9_include_dataset,final_include,in_actual,q7_intermediate_phenotype,q8_familial_alzheimer_disease,q9_incompatible_technology,q10_inclusion_justification,q11_include_dataset,q7_familial_disease,q8_incompatible_technology,q9_inclusion_justification,q10_include_dataset
als-ftd-screened_E-GEOD-12288,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Description: Gene expression assessed using Affymetrix U133A chips; Organism: Homo sapiens. | justification: Human samples profiled by Affymetrix microarray (U133A), measuring RNA expression.","No | evidence: Title and description: 'Gene expression patterns in peripheral blood correlate with the extent of coronary artery disease'; references to CAD, CADi, coronary angiography throughout. | justification: The study concerns coronary artery disease (CAD); there is no mention of ALS or frontotemporal dementia.","No | evidence: Description: 'Gene expression profile in circulating leukocytes'; 'RNA was extracted from 110 patients...'; samples are from peripheral blood. | justification: Samples are peripheral blood leukocytes, not human brain or CNS tissue.","No | evidence: Description indicates RNA extracted from patient blood samples undergoing coronary angiography; no mention of cell lines or experimental disease models. | justification: Material is primary patient-derived blood cells, not in vitro cell lines or model systems.",Yes | evidence: RNA extracted from 110 patients with CAD (CADi>23) and from 112 partially matched controls without CAD (CADi=0); study described as parallel group design. | justification: Clear case (CAD) versus control (no CAD) group comparison.,"No | evidence: Samples are peripheral blood leukocytes, not brain regions. | justification: The question pertains to brain-region sampling; this dataset does not sample brain tissue, so it does not involve irrelevant brain regions per se.",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Affymetrix U133A chips used. | justification: Microarray technology is compatible with inclusion (not RNA-seq or proteomics).,"justification: Although this is human microarray data with a case/control design, the study investigates coronary artery disease using peripheral blood samples rather than ALS-FTD or relevant CNS tissues. It therefore fails the disease-target and CNS-tissue inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-52390,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Platform: Infinium HumanHT-12 (HumanHT-12 expression array); Assay by Molecule: RNA assay. | justification: The study uses the Illumina HumanHT-12 platform for transcription profiling of human samples, i.e. microarray-based gene expression profiling.","No | evidence: Title and description: 'high-grade soft tissue sarcomas' representing eight sarcoma subtypes; Experimental Factors list SARCOMA SUBTYPE; no mention of ALS, FTD or neurodegenerative disease. | justification: The dataset focuses on soft tissue sarcomas (cancer), not amyotrophic lateral sclerosis or frontotemporal dementia.","No | evidence: Samples: 79 primary, untreated high-grade soft tissue sarcomas, two non-neoplastic fat samples and 13 sarcoma cell lines; Organism: Homo sapiens; Organism part not specified as brain/CNS. | justification: All listed samples are soft tissue (sarcoma) or fat or cell lines; no human brain/CNS tissue samples are reported.","Yes | evidence: Samples include 13 representative sarcoma cell lines (HT1080, MLS1765, MLS402, SW872, FU-DDLS-1, T778, T449, STS26T, HS-SY-II, Fuji, SYO-1, 1273, CME). | justification: The dataset contains in vitro tumor cell lines. While not ALS disease models, presence of cell lines indicates inclusion of non-clinical in vitro samples.","No | evidence: Experimental Designs: Not found; Experimental Factors are SARCOMA SUBTYPE, TUMOR CELL LINE, AGE, SEX; no indication of case vs control groups or matched controls. | justification: No case/control study design is described; samples are cancer subtypes and cell lines rather than cases versus healthy controls.","No | evidence: No brain/CNS regions are reported among sample source characteristics; samples are soft tissue sarcomas and fat. | justification: The dataset does not sample any brain regions, so the question of irrelevant brain regions for ALS-FTD is not applicable.",No | evidence: Technology: Array assay; Study type: transcription profiling by array; Platform: Infinium HumanHT-12 expression array; Assay by Molecule: RNA assay. | justification: The technology is microarray-based expression profiling (compatible). No RNA-seq or proteomics technologies are reported.,"justification: Exclude. Although this is human microarray expression data, the study addresses soft tissue sarcomas (not ALS-FTD), contains no human CNS/brain samples, includes tumor cell lines, and lacks a case/control design relevant to ALS-FTD. These fail multiple inclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-5287,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Description: Affymetrix GeneChip expression profiling was carried out using tumor material from 30 patients; Technology: Array assay; Assay by Molecule: RNA assay. | justification: Dataset uses human samples and Affymetrix microarray (array) expression profiling.,"No | evidence: Title and Description: study of advanced bladder cancer / transitional cell carcinoma of the urothelium; no mention of ALS or FTD anywhere in metadata or description. | justification: The disease studied is bladder cancer, not ALS-FTD.","No | evidence: Description and experiment: tumors from 30 patients with advanced bladder cancer; Organism: Homo sapiens; Organ/organism part not CNS. | justification: Samples are bladder tumor tissue (urothelium), not human brain/CNS tissue.",No | evidence: Description: uses tumor material from patients (clinical tumor samples); no mention of cell lines or disease models. | justification: The study uses primary patient tumor tissue rather than patient‑derived in vitro cell lines or experimental disease models.,"No | evidence: Experimental design: transcription profiling to identify genes correlating with survival/response; Description: correlates gene expression with survival/time-to-response, validation by IHC—no case vs control groups described. | justification: Study design is prognostic/association (expression vs survival/response), not a case/control comparison.","Yes | evidence: Samples are bladder tumors (urothelial carcinoma), not brain regions. | justification: The tissue is non-CNS (bladder), therefore not a brain region relevant to ALS-FTD neurodegeneration.","No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Description explicitly states Affymetrix GeneChip microarrays. | justification: The platform is microarray-based, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Exclude: although this is human microarray expression data, it does not meet key inclusion criteria—disease is bladder cancer rather than ALS-FTD and samples are non-CNS (bladder) tissue. The study also lacks a case/control design. Therefore it is not appropriate for inclusion.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-52917,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; 53 Affymetrix miRNA 3.0 arrays; Organism: Homo sapiens. | justification: The study used human Affymetrix miRNA microarrays to profile miRNAs/ncRNAs in human samples.,"Yes | evidence: Title and description repeatedly refer to ALS patients, familial ALS (fALS), sporadic ALS (sALS) and ALS mutation carriers. | justification: The dataset focuses on amyotrophic lateral sclerosis (ALS), which falls within the ALS-FTD disease spectrum target.","No | evidence: Description: 'serum ncRNA profiles ... in the serum of sporadic ALS patients, familial ALS cases, asymptomatic mutation carriers and healthy controls.' Organism part not provided. | justification: Samples are peripheral serum, not human brain/CNS tissue.",No | evidence: Samples described are serum from patients and controls; no cell lines or experimental disease models reported. | justification: Data derive from patient biofluid samples rather than patient-derived in vitro cell lines or models.,"Yes | evidence: Comparisons reported: fALS patients vs controls, ALS mutation carriers vs controls, sALS patients vs controls; age- and gender-matched controls used. | justification: The study performs case vs control comparisons across multiple patient groups.",No | evidence: No brain regions sampled; source is serum. | justification: Question on irrelevant brain regions is not applicable because no brain/CNS tissue was analyzed.,No | evidence: Technology: Array assay; Affymetrix miRNA 3.0 arrays; Assay by Molecule: RNA assay. | justification: The platform is microarray-based (compatible); no RNA-seq or proteomics employed.,"justification: Although the dataset meets criteria for human microarray profiling, ALS disease focus, and case/control design, it fails the requirement to involve human CNS/brain tissue relevant to ALS-FTD because samples are serum. Therefore it should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-59128,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay. | justification: The study used microarray-based transcription profiling (array) on human-derived samples (primary and differentiated airway epithelial cells).,"No | evidence: Title and Description: The human airway epithelial basal cell transcriptome in the early response to injury; focuses on airway epithelial injury and repair. No mention of ALS, FTD, motor neuron disease, or related neurodegenerative conditions. | justification: The dataset studies airway epithelial injury/repair, not ALS-FTD or related neurodegenerative disease.","No | evidence: Samples: primary airway epithelial cells (AEC) and differentiated airway epithelial cells (dAEC) obtained from donated lungs; Organism part not CNS; Description describes airway/ lung cells. | justification: Samples are lung/airway epithelial cells, not human brain or CNS tissue.","Yes | evidence: Description: Airway epithelial cells were obtained from donated lungs and grown in submersion culture; Total RNA obtained from primary (AEC) and differentiated (dAEC) human airway epithelial cells subjected to in vitro mechanical or cyclic stretch. | justification: The study uses patient-donated primary cells cultured in vitro (in vitro injury models), which meet the exclusion criterion for patient-derived in vitro models.","No | evidence: Experimental Designs: Not found; Experimental Factors relate to injury type, cell line id, culture condition, cell type, injury duration; no clinical case/control groups or disease vs control comparisons reported. | justification: The design compares in vitro injury conditions vs sham/controls, not clinical case versus control cohorts for disease.","Yes | evidence: Sampled tissue: airway epithelial cells from donor lungs (AEC, dAEC); no brain regions sampled. | justification: No CNS/brain regions are involved; sampled tissue (lung/airway) is irrelevant to ALS-FTD neurodegeneration.","No | evidence: Technology: Array assay; Study type: transcription profiling by array; Assay by Molecule: RNA assay. | justification: The platform is microarray-based expression profiling, which is compatible with inclusion criteria.","justification: Exclude. Although the dataset is human microarray expression profiling, it does not pertain to ALS-FTD, does not use CNS tissue (samples are airway epithelial cells from lung), involves in vitro cultured primary cells (patient-derived models), and is not a clinical case/control disease study. These features violate multiple inclusion/exclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-60082,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Assay by Molecule: RNA assay; Organism: nude mouse, Homo sapiens; ""The primary tumor (when available) and passages 1 and 4 were selected for gene expression profiling"". | justification: The study used microarray transcription profiling on RNA and includes Homo sapiens (primary tumors) among the organisms profiled, so human microarray expression data are present (albeit mixed with xenograft samples).","No | evidence: Title and description refer to malignant peripheral nerve sheath tumor (MPNST) and neurofibromatosis type 1 (NF1); no mention of amyotrophic lateral sclerosis or frontotemporal dementia. | justification: The dataset concerns MPNST (a peripheral nerve tumor) and NF1-associated or sporadic MPNST biology and treatment response, not ALS-FTD.","No | evidence: Description: ""Primary MPNSTs were implanted in the sciatic nerve of nude mice""; Organism part: Not found; study deals with peripheral nerve tumors (MPNST). | justification: Samples derive from peripheral nerve tumors and orthoxenografts (sciatic nerve implantations), not from human brain/CNS regions relevant to ALS-FTD.","Yes | evidence: ""We generated five patient-derived MPNST orthoxenograft models... Primary MPNSTs were implanted in the sciatic nerve of nude mice to create orthoxenograft MPNST models."" | justification: The dataset is based on patient-derived tumor orthoxenograft models (in vivo disease models), which are non-clinical experimental models rather than primary patient CNS samples.","No | evidence: Experimental Designs: Not found; Experimental Factors list sample type, nf1-associated, passage, original tumor; study focuses on characterization and treatment of orthoxenografts rather than a case/control comparison. | justification: No explicit case/control design is provided—samples represent primary tumors and xenograft passages and treated models rather than case vs matched control groups.","Yes | evidence: Study focuses on MPNST and implantation in the sciatic nerve; no brain regions reported. | justification: Tissue sampled (peripheral nerve tumor / sciatic nerve orthoxenografts) is outside CNS brain regions significantly affected in ALS-FTD, so it is irrelevant to ALS-FTD neuropathology.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology used is microarray-based transcription profiling, which is compatible with the inclusion criterion for microarray expression data.","justification: Exclude: Although the dataset contains human microarray data, it does not pertain to ALS-FTD, does not sample human brain/CNS regions relevant to ALS-FTD (samples are peripheral nerve tumors and xenografts), is based on patient-derived orthoxenograft disease models, and lacks a case/control design. These factors violate multiple inclusion/exclusion criteria.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-67527,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay. | justification: The study uses array-based transcription profiling on human samples (RNA microarray).,"No | evidence: Title/Description: SPOAN affected patients; cell type: Healthy, SPOAN (spastic paraplegia, optic atrophy, and neuropathy) syndrome. | justification: The disease under study is SPOAN syndrome, not amyotrophic lateral sclerosis or frontotemporal dementia (ALS-FTD).","No | evidence: Organism part: Skin fibroblast; Description: Fibroblast samples of 8 samples were analyzed. | justification: Samples are skin-derived fibroblasts (non-CNS tissue), not human brain/CNS tissue.","Yes | evidence: Description: Fibroblast samples of 8 samples (4 SPOAN affected patients and 4 healthy controls); Experimental Factors: cell type; Source Characteristics: Skin fibroblast. | justification: The dataset uses patient-derived fibroblast cells (in vitro primary cell samples), which meet the exclusion criterion for patient-derived in vitro cell lines.",Yes | evidence: Description: Fibroblast samples of 8 samples were analyzed: 4 SPOAN affected patients and 4 healthy controls. | justification: The study compares affected patients versus healthy controls (case/control design).,"Yes | evidence: Organism part: Skin fibroblast; no CNS/brain tissues listed in samples or source characteristics. | justification: Samples are from skin fibroblasts, which are not CNS regions affected by ALS-FTD and therefore irrelevant to neuropathology-focused inclusion.","No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The technology is microarray (array transcription profiling), which is compatible with inclusion (not RNA-seq or proteomics).","justification: Exclude: although the dataset is human microarray expression profiling and uses a case/control design, it is not about ALS-FTD and does not use CNS/brain tissue (samples are patient-derived skin fibroblasts). Additionally, it involves patient-derived in vitro fibroblast samples, matching exclusion criterion 4.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-68240,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The experiment used array-based transcription profiling on human samples (microarray/RNA assay).,"Yes | evidence: Title: hiPSC-derived motor neurons: sporadic ALS patients vs. controls; Samples disease state: ALS, control. | justification: Study compares sporadic ALS patient-derived samples to controls, which falls within the ALS-FTD disease spectrum (ALS).","No | evidence: Description: Differentiated motor neurons from hiPSC derived from peripheral nerve fibroblasts; Samples: Organism part: Not found; Cell type: Fibroblasts from peripheral nerve; Cell line: HEK 293. | justification: Samples are in vitro differentiated hiPSC-derived motor neurons (from peripheral fibroblasts), not primary human brain/CNS tissue. No brain region/origin is reported. ","Yes | evidence: Title/Description: hiPSC-derived motor neurons from sporadic ALS patients; Sample attributes: Cell type/line includes hiPSC-derived cells and HEK 293 cell line. | justification: The study uses patient-derived induced pluripotent stem cell (hiPSC) models and cell lines (in vitro disease models), which meet the exclusion criterion for non-clinical, in vitro systems. ","Yes | evidence: Description: Two-condition experiment, ALS patients motor neurons vs. controls; Biological replicates: 3 ALS replicates, 3 control replicates; Experimental Factors: disease state. | justification: The design directly compares ALS-derived samples to controls (case/control).","No | evidence: Samples are hiPSC-derived motor neurons from peripheral fibroblasts; no brain regions reported (Organism part: Not found). | justification: No sampled brain regions are reported; the dataset uses in vitro cells rather than anatomical brain regions, so exclusion for irrelevant brain region does not apply. ",No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The platform is microarray-based (compatible). No RNA-seq or proteomics technologies are reported. ,"justification: Although the dataset is human, microarray-based, ALS-relevant, and uses a case/control design, it consists of patient-derived hiPSC motor neurons / cell lines (in vitro disease models). Per the exclusion criteria, patient-derived in vitro cell lines/disease models must be excluded. Therefore the dataset should not be included.",No,No,False,,,,,,,,,
als-ftd-screened_E-GEOD-7423,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The experiment used microarray-based transcription profiling (array assay of RNA).,"No | evidence: Title/Description: study of Hereditary Motor and Sensory Neuropathies (HMSN1A, HMSN-LOM) and CCFDN syndrome (mutations in PMP22, NDRG1, CTDP1). | justification: The dataset focuses on inherited peripheral demyelinating neuropathies, not ALS-FTD.","No | evidence: Title/Description: transcription profiling of human Schwann cells; samples are human Schwann cell lines. | justification: Schwann cells are peripheral nervous system glia (PNS), not CNS/brain tissue.","Yes | evidence: Description: 'We analyzed human Schwann cell lines from three normal subjects, one HMSN-LOM patient, two HMSN-1A patients and two CCFDN patients'; mentions passages and technical/biological replicates. | justification: The study uses patient-derived/in vitro Schwann cell lines rather than primary patient CNS tissue.",Yes | evidence: Description: includes neuropathy patient samples (multiple patients) and three healthy subjects; samples were compared to a common reference pool. | justification: The design compares patient-derived samples to controls/healthy subjects (case vs control comparisons).,Yes | evidence: Samples are Schwann cell lines (PNS); no CNS/brain regions reported. | justification: No brain regions are sampled; Schwann cells (PNS) are not regions affected by ALS-FTD neurodegeneration.,"No | evidence: Technology: Array assay; Study type: transcription profiling by array. | justification: The platform is microarray, which is compatible with inclusion (not RNA-seq or proteomics).","justification: Exclude. Although the dataset uses human microarrays, it does not study ALS-FTD and does not sample human CNS/brain tissue. It uses patient-derived Schwann cell lines (PNS, in vitro), which conflict with exclusion criteria (non-CNS, cell lines).",No,No,False,,,,,,,,,
als-ftd-screened_E-MEXP-2280,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: Data are genome-wide expression profiles generated by microarray from human post-mortem brain tissue (array/RNA assay).,"No | evidence: Description lists patient groups: 5 AD, 5 PSP, 5 PiD and 5 FTD patients; no ALS cases or explicit ALS-FTD designation are mentioned. | justification: Although FTD cases are included, the dataset does not include ALS patients nor explicitly address the ALS-FTD spectrum, so it does not directly pertain to ALS-FTD as required.","Yes | evidence: Source characteristics: Organism part: medial temporal lobe; Description: snap frozen post-mortem tissue. | justification: Samples are human post-mortem brain tissue (medial temporal lobe), i.e. CNS tissue.","No | evidence: Description: snap frozen post-mortem tissue; Cell type/line: Not found. | justification: Samples are primary post-mortem brain tissue, not patient-derived in vitro cell lines or disease models.",Yes | evidence: Description: 5 disease groups and 5 control subjects; Experimental Factors: disease; Experimental Designs include disease_state_design. | justification: Study compares disease groups to matched control subjects (case vs control design).,"Yes | evidence: Organism part: medial temporal lobe; Dataset focuses on medial temporal lobe samples. | justification: ALS primarily affects motor areas and spinal cord; ALS-FTD relevant cortical regions are typically frontal and anterior temporal cortex. Medial temporal lobe is more characteristic of AD and is not a primary region implicated in ALS or many FTD presentations, making the sampled region less relevant to ALS-FTD-focused studies.",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Study type: transcription profiling by array. | justification: The study uses microarray-based transcription profiling (compatible technology).,"justification: Although this is a human microarray study on post-mortem brain tissue with a case/control design, the dataset does not include ALS cases or explicitly address the ALS-FTD spectrum, and the sampled region (medial temporal lobe) is more characteristic of AD and not a primary region for ALS-FTD. Therefore it does not meet the ALS-FTD and CNS-region relevance criteria.",No,No,True,,,,,,,,,
als-ftd-screened_E-MEXP-3260,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,"Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Description: gene expression changes in skeletal muscle from human biopsies. | justification: The study uses array-based transcription profiling on human samples (Homo sapiens), consistent with human microarray expression profiling.","Yes | evidence: Description and Disease annotations: samples from patients clearly diagnosed as having Amyotrophic Lateral Sclerosis (ALS); Disease_state: normal, amyotrophic lateral sclerosis. | justification: The dataset is explicitly about ALS, which falls within the ALS-FTD disease spectrum.","No | evidence: Organism part: muscle; Description: skeletal muscle biopsies. | justification: All samples are from skeletal muscle, not brain or other CNS tissue.",No | evidence: Description: samples from human biopsies (healthy muscles or muscle from ALS patients); no cell lines or model systems reported. | justification: Samples are patient tissue biopsies rather than patient-derived in vitro cell lines or experimental disease models.,"Yes | evidence: Experimental Factors/Source Characteristics: DISEASE_STATE: normal, amyotrophic lateral sclerosis; Experimental Designs include disease_state_design. | justification: The study compares ALS patient muscle samples to normal (control) muscle samples, meeting a case/control design.","Yes | evidence: Organism part: muscle; no CNS/brain regions listed among samples. | justification: Samples are from skeletal muscle, which is not a CNS region significantly affected by ALS-FTD neurodegeneration per the inclusion criteria requiring CNS tissue.",No | evidence: Technology: Array assay; Assay by Molecule: RNA assay; Study type: transcription profiling by array. | justification: The platform is microarray-based transcription profiling (compatible). No RNA-seq or proteomics technologies are reported.,"justification: Although the dataset is human, microarray-based, and concerns ALS with a case/control design, it uses skeletal muscle biopsies rather than human CNS/brain tissue. The inclusion criteria require CNS regions relevant to ALS-FTD; therefore this dataset should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-MTAB-1925,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Organism: Homo sapiens; Assay by Molecule: RNA assay; Title: 'Transcription profiling by array...' | justification: The experiment is transcription profiling of human RNA using microarray (array) technology on Homo sapiens samples.,"Yes | evidence: Title mentions amyotrophic lateral sclerosis patients with C9ORF72 expansion; Sample annotation Disease: normal, amyotrophic lateral sclerosis; Description compares ALS patients and healthy controls. | justification: The study focuses on ALS patients (including C9ORF72 mutation carriers), which falls within the ALS-FTD disease spectrum relevant to the project.","Yes | evidence: Samples: post-mortem motor cortex; Source characteristics Organism part: motor cortex; Developmental stage: adult. | justification: Samples are from human post-mortem motor cortex, a central nervous system tissue.",No | evidence: Source characteristics indicate post-mortem motor cortex and Organism: Homo sapiens; 'Cell type/line: Not found' in additional attributes; Title and description reference patient post-mortem tissue. | justification: No evidence of patient-derived in vitro cell lines or disease models; samples are post-mortem brain tissue despite an 'In vitro design' label in the experimental design metadata (likely a misannotation).,"Yes | evidence: Experimental Factors: disease (normal, amyotrophic lateral sclerosis); Description: compares RNA from motor cortex of healthy control patients and ALS patients; Experimental Designs: disease state design. | justification: The study compares ALS cases to healthy controls (case/control disease-state design).",No | evidence: Organism part: motor cortex; Description: post-mortem motor cortex from ALS and control subjects. | justification: Motor cortex is a primary CNS region affected in ALS and therefore relevant to ALS-FTD neurodegeneration.,"No | evidence: Technology: Array assay; Study type: transcription profiling by array; Assay by Molecule: RNA assay. | justification: The assay uses microarray-based transcription profiling (not RNA-seq or proteomics), so the technology is compatible.","justification: Meets inclusion criteria: human microarray expression profiling of CNS tissue (motor cortex) from ALS patients (C9ORF72 carriers) and healthy controls; case/control design; tissue is relevant to ALS; not an in vitro/model study; technology is microarray. Although sample count is small (n=6), nothing in the criteria excludes small studies.",Yes,Yes,True,,,,,,,,,
als-ftd-screened_E-MTAB-1926,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: 'transcription profiling by array'; Technology: 'Array assay'; Organism: 'Homo sapiens'; Assay by Molecule: 'RNA assay'. | justification: The experiment used array-based transcription profiling on human RNA samples.,"Yes | evidence: Description: compares fibroblasts from healthy controls, 'amyotrophic lateral sclerosis (ALS) patients carrying an expanded GGGGCC repeat mutation in the ... C9ORF72 gene' and 'ALS patients with a mutation in the SOD1 gene'. | justification: The study involves ALS patient samples (including C9ORF72-associated ALS, which is part of the ALS-FTD genetic spectrum).","No | evidence: Sample attributes: 'Cell type: fibroblast'; 'Organism part' not provided; Experimental design includes 'in_vitro_design'. | justification: Samples are patient-derived fibroblasts (non-CNS tissue), not human brain/CNS tissue.","Yes | evidence: Experimental Designs: includes 'in_vitro_design'; Sample attributes indicate 'Cell type: fibroblast'. | justification: Samples are patient-derived in vitro fibroblast cultures, i.e., non-tissue cell lines.","Yes | evidence: Experimental Factors: disease with levels 'SOD1 mutant amyotrophic lateral sclerosis, C9ORF72 amyotrophic lateral sclerosis, normal'. | justification: Study compares disease groups to healthy controls (case vs control comparisons present).",No | evidence: No brain/CNS regions sampled; 'Organism part' not found; sample type is fibroblast. | justification: The dataset does not sample any brain regions (so it does not involve irrelevant brain regions).,No | evidence: Technology: 'Array assay'; Study type: 'transcription profiling by array'. | justification: The assay is microarray-based (compatible); no RNA-seq or proteomics reported.,"justification: Although the study is human microarray profiling of ALS patient-derived samples (including C9ORF72), it uses patient-derived fibroblasts (in vitro, non-CNS tissue). This violates inclusion criterion 3 (requires CNS tissue) and exclusion criterion 4 (patient-derived in vitro cell lines). Therefore it should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-MTAB-1927,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The experiment uses microarray-based transcription profiling on human samples (RNA assays) as indicated by 'transcription profiling by array' and 'Array assay' with organism Homo sapiens.,"Yes | evidence: Disease: C9ORF72 amyotrophic lateral sclerosis, SOD1 D90A amyotrophic lateral sclerosis; Title references C9ORF72 and SOD1 ALS. | justification: The dataset compares samples carrying ALS-causing mutations (C9ORF72 repeat expansion and SOD1 D90A), which are within the ALS (and for C9ORF72, ALS-FTD spectrum) disease context.","No | evidence: Cell type: neuron differentiated from induced pluripotent stem cell; Organism part: Not found. | justification: Samples are iPSC-derived neurons (in vitro differentiated cells), not primary human CNS tissue or brain region specimens.","Yes | evidence: Cell type: neuron differentiated from induced pluripotent stem cell; Description: compare RNA samples from induced pluripotent stem cells differentiated into neurons carrying mutations. | justification: The study uses patient-derived iPSC lines differentiated into neurons (an in vitro cellular model), meeting the exclusion criterion for patient-derived in vitro models.","Yes | evidence: Description: compare differences ... between ... neurons carrying a mutation ... and those without any (control); Experimental Designs: disease_state_design. | justification: The experimental design compares mutant (disease) iPSC-derived neurons to control (non-mutant) iPSC-derived neurons, consistent with a case vs control comparison.",No | evidence: Organism part: Not found; samples are iPSC-derived neurons rather than sampled brain regions. | justification: No brain regions are sampled; the dataset does not involve brain regions that would be classified as relevant or irrelevant to ALS-FTD neurodegeneration.,No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay by Molecule: RNA assay. | justification: The platform is microarray-based expression profiling (compatible); no RNA-seq or proteomics technologies are indicated.,"justification: Although the dataset is human, uses microarray expression profiling, and is ALS-related with a case/control comparison, it is based on patient-derived iPSC-differentiated neurons (an in vitro disease model). Per exclusion criterion 4, patient-derived in vitro cell lines/models should be excluded.",No,No,False,,,,,,,,,
als-ftd-screened_E-MTAB-2325,als-ftd-screened,ALS-FTD,,gpt-5-mini-2025-08-07,Yes | evidence: Study type: transcription profiling by array; Technology: Generic.SingleColor.014850; Assay by Molecule: RNA assay; Organism: Homo sapiens. | justification: The experiment used microarray-based transcription profiling on human RNA (single-color array).,Yes | evidence: Disease annotation: Sporadic Amyotrophic Lateral Sclerosis; Title: '...motor cortex of Control and Sporadic Amyotrphic Lateral Sclerosis patients'. | justification: The dataset samples are from sporadic ALS patients. ALS is part of the ALS-FTD disease spectrum (FTD not explicitly reported in this study).,"Yes | evidence: Organism part: v4 cortex; Title indicates motor cortex; samples are post-mortem human tissue. | justification: Samples derive from human cerebral cortex (motor cortex), a CNS region.","No | evidence: Cell type/line: Not found; Source characteristics indicate organism part = cortex (tissue), not cell lines or in vitro models. | justification: The study uses post-mortem brain tissue from patients, not patient-derived in vitro cell lines or model systems.","Yes | evidence: Experimental Designs: case control design, clinical history design; Disease: normal vs Sporadic Amyotrophic Lateral Sclerosis. | justification: The study compares ALS cases to control (normal) samples, consistent with a case/control design.",No | evidence: Organism part: v4 cortex; Title: motor cortex. | justification: Motor cortex is a CNS region significantly affected in ALS and is relevant to ALS-FTD neurodegeneration.,"No | evidence: Study type: transcription profiling by array; Technology: Array assay; Assay count: 41. | justification: The dataset uses microarray technology (not RNA-seq or proteomics), so the technology is compatible.","justification: This dataset meets inclusion criteria: it's human microarray expression profiling of relevant CNS tissue (motor cortex) from sporadic ALS patients and controls, uses a case/control design, and is not an in vitro/model or incompatible technology. FTD is not explicitly reported, but ALS is within the ALS-FTD spectrum.",Yes,Yes,True,,,,,,,,,
