model,version,trial,split,target_disease,input_tokens,output_tokens,input_cost,output_cost,total_cost
o4-mini,v1,seed45,,AD,19236,15194,0.0106,0.0334,0.044
o4-mini,v1,seed45,,ALS-FTD,46275,35741,0.0255,0.0786,0.1041
o4-mini,v1,seed45,,LBD,22780,15404,0.0125,0.0339,0.0464
o4-mini,v1,seed45,,all-diseases,88291,66339,0.0486,0.1459,0.1945
o4-mini,v1,seed46,,AD,19236,14722,0.0106,0.0324,0.043
o4-mini,v1,seed46,,ALS-FTD,46275,33576,0.0255,0.0739,0.0993
o4-mini,v1,seed46,,LBD,22780,16253,0.0125,0.0358,0.0483
o4-mini,v1,seed46,,all-diseases,88291,64551,0.0486,0.142,0.1906
o4-mini,v1,seed47,,AD,19236,15015,0.0106,0.033,0.0436
o4-mini,v1,seed47,,ALS-FTD,46275,33112,0.0255,0.0728,0.0983
o4-mini,v1,seed47,,LBD,22780,16259,0.0125,0.0358,0.0483
o4-mini,v1,seed47,,all-diseases,88291,64386,0.0486,0.1416,0.1902
o4-mini,v1,seed48,,AD,19236,14017,0.0106,0.0308,0.0414
o4-mini,v1,seed48,,ALS-FTD,46275,35111,0.0255,0.0772,0.1027
o4-mini,v1,seed48,,LBD,22780,17995,0.0125,0.0396,0.0521
o4-mini,v1,seed48,,all-diseases,88291,67123,0.0486,0.1477,0.1962
o4-mini,v1,seed49,,AD,19236,14081,0.0106,0.031,0.0416
o4-mini,v1,seed49,,ALS-FTD,46275,35014,0.0255,0.077,0.1025
o4-mini,v1,seed49,,LBD,22780,15209,0.0125,0.0335,0.046
o4-mini,v1,seed49,,all-diseases,88291,64304,0.0486,0.1415,0.19
o4-mini,v1,seed50,,AD,19236,14469,0.0106,0.0318,0.0424
o4-mini,v1,seed50,,ALS-FTD,46275,35535,0.0255,0.0782,0.1036
o4-mini,v1,seed50,,LBD,22780,17198,0.0125,0.0378,0.0504
o4-mini,v1,seed50,,all-diseases,88291,67202,0.0486,0.1478,0.1964
o4-mini,v1,seed51,,AD,19236,32461,0.0106,0.0714,0.082
o4-mini,v1,seed51,,ALS-FTD,46275,35745,0.0255,0.0786,0.1041
o4-mini,v1,seed51,,LBD,22780,16022,0.0125,0.0352,0.0478
o4-mini,v1,seed51,,all-diseases,88291,84228,0.0486,0.1853,0.2339
o4-mini,v1,,,AD,19236,16892,0.0106,0.0372,0.0477
o4-mini,v1,,,ALS-FTD,46275,36318,0.0255,0.0799,0.1054
o4-mini,v1,,,LBD,22780,15920,0.0125,0.035,0.0476
o4-mini,v1,,,all-diseases,88291,69130,0.0486,0.1521,0.2006
